topology_id,left_candidate_id,right_candidate_id,shared_vertices,left_type,right_type,left_length,right_length
G-269,G-269:c0003,G-269:c0030,12|14,chain,chain,4,4
G-269,G-269:c0003,G-269:c0031,12|5,chain,chain,4,4
G-269,G-269:c0003,G-269:c0032,14,chain,chain,4,3
G-269,G-269:c0003,G-269:c0033,14|15,chain,chain,4,4
G-269,G-269:c0003,G-269:c0034,5,chain,chain,4,3
G-269,G-269:c0003,G-269:c0035,5,chain,chain,4,4
G-269,G-269:c0003,G-269:c0036,5,chain,chain,4,2
G-269,G-269:c0003,G-269:c0037,5,chain,chain,4,3
G-269,G-269:c0003,G-269:c0038,5,chain,chain,4,1
G-269,G-269:c0003,G-269:c0039,5,chain,chain,4,2
G-269,G-269:c0004,G-269:c0005,12|20|5,chain,chain,2,3
G-269,G-269:c0004,G-269:c0006,20|5,chain,chain,2,1
G-269,G-269:c0004,G-269:c0007,20|5,chain,chain,2,2
G-269,G-269:c0004,G-269:c0011,12,chain,chain,2,2
G-269,G-269:c0004,G-269:c0012,12,chain,chain,2,3
G-269,G-269:c0004,G-269:c0013,12,chain,chain,2,4
G-269,G-269:c0004,G-269:c0014,12|5,chain,chain,2,3
G-269,G-269:c0004,G-269:c0015,12|5,chain,chain,2,4
G-269,G-269:c0004,G-269:c0018,12,chain,chain,2,3
G-269,G-269:c0004,G-269:c0019,12,chain,chain,2,4
G-269,G-269:c0004,G-269:c0020,12|5,chain,chain,2,4
G-269,G-269:c0004,G-269:c0021,12,chain,chain,2,2
G-269,G-269:c0004,G-269:c0022,12,chain,chain,2,3
G-269,G-269:c0004,G-269:c0023,12,chain,chain,2,4
G-269,G-269:c0004,G-269:c0024,12|5,chain,chain,2,3
G-269,G-269:c0004,G-269:c0025,12|5,chain,chain,2,4
G-269,G-269:c0004,G-269:c0028,12,chain,chain,2,4
G-269,G-269:c0004,G-269:c0029,12,chain,chain,2,3
G-269,G-269:c0004,G-269:c0030,12,chain,chain,2,4
G-269,G-269:c0004,G-269:c0031,12|5,chain,chain,2,4
G-269,G-269:c0004,G-269:c0034,5,chain,chain,2,3
G-269,G-269:c0004,G-269:c0035,5,chain,chain,2,4
G-269,G-269:c0004,G-269:c0036,5,chain,chain,2,2
G-269,G-269:c0004,G-269:c0037,5,chain,chain,2,3
G-269,G-269:c0004,G-269:c0038,5,chain,chain,2,1
G-269,G-269:c0004,G-269:c0039,5,chain,chain,2,2
G-269,G-269:c0005,G-269:c0006,20|5,chain,chain,3,1
G-269,G-269:c0005,G-269:c0007,20|5|7,chain,chain,3,2
G-269,G-269:c0005,G-269:c0010,7,chain,chain,3,3
G-269,G-269:c0005,G-269:c0011,12,chain,chain,3,2
G-269,G-269:c0005,G-269:c0012,12,chain,chain,3,3
G-269,G-269:c0005,G-269:c0013,12,chain,chain,3,4
G-269,G-269:c0005,G-269:c0014,12|5,chain,chain,3,3
G-269,G-269:c0005,G-269:c0015,12|5|7,chain,chain,3,4
G-269,G-269:c0005,G-269:c0018,12,chain,chain,3,3
G-269,G-269:c0005,G-269:c0019,12,chain,chain,3,4
G-269,G-269:c0005,G-269:c0020,12|5,chain,chain,3,4
G-269,G-269:c0005,G-269:c0021,12,chain,chain,3,2
G-269,G-269:c0005,G-269:c0022,12,chain,chain,3,3
G-269,G-269:c0005,G-269:c0023,12,chain,chain,3,4
G-269,G-269:c0005,G-269:c0024,12|5,chain,chain,3,3
G-269,G-269:c0005,G-269:c0025,12|5|7,chain,chain,3,4
G-269,G-269:c0005,G-269:c0028,12,chain,chain,3,4
G-269,G-269:c0005,G-269:c0029,12,chain,chain,3,3
G-269,G-269:c0005,G-269:c0030,12,chain,chain,3,4
G-269,G-269:c0005,G-269:c0031,12|5,chain,chain,3,4
G-269,G-269:c0005,G-269:c0034,5,chain,chain,3,3
G-269,G-269:c0005,G-269:c0035,5|7,chain,chain,3,4
G-269,G-269:c0005,G-269:c0036,5,chain,chain,3,2
G-269,G-269:c0005,G-269:c0037,5|7,chain,chain,3,3
G-269,G-269:c0005,G-269:c0038,5,chain,chain,3,1
G-269,G-269:c0005,G-269:c0039,5|7,chain,chain,3,2
G-269,G-269:c0006,G-269:c0007,20|5,chain,chain,1,2
G-269,G-269:c0006,G-269:c0014,5,chain,chain,1,3
G-269,G-269:c0006,G-269:c0015,5,chain,chain,1,4
G-269,G-269:c0006,G-269:c0020,5,chain,chain,1,4
G-269,G-269:c0006,G-269:c0024,5,chain,chain,1,3
G-269,G-269:c0006,G-269:c0025,5,chain,chain,1,4
G-269,G-269:c0006,G-269:c0031,5,chain,chain,1,4
G-269,G-269:c0006,G-269:c0034,5,chain,chain,1,3
G-269,G-269:c0006,G-269:c0035,5,chain,chain,1,4
G-269,G-269:c0006,G-269:c0036,5,chain,chain,1,2
G-269,G-269:c0006,G-269:c0037,5,chain,chain,1,3
G-269,G-269:c0006,G-269:c0038,5,chain,chain,1,1
G-269,G-269:c0006,G-269:c0039,5,chain,chain,1,2
G-269,G-269:c0007,G-269:c0010,7,chain,chain,2,3
G-269,G-269:c0007,G-269:c0014,5,chain,chain,2,3
G-269,G-269:c0007,G-269:c0015,5|7,chain,chain,2,4
G-269,G-269:c0007,G-269:c0020,5,chain,chain,2,4
G-269,G-269:c0007,G-269:c0024,5,chain,chain,2,3
G-269,G-269:c0007,G-269:c0025,5|7,chain,chain,2,4
G-269,G-269:c0007,G-269:c0031,5,chain,chain,2,4
G-269,G-269:c0007,G-269:c0034,5,chain,chain,2,3
G-269,G-269:c0007,G-269:c0035,5|7,chain,chain,2,4
G-269,G-269:c0007,G-269:c0036,5,chain,chain,2,2
G-269,G-269:c0007,G-269:c0037,5|7,chain,chain,2,3
G-269,G-269:c0007,G-269:c0038,5,chain,chain,2,1
G-269,G-269:c0007,G-269:c0039,5|7,chain,chain,2,2
G-269,G-269:c0008,G-269:c0009,10|21,chain,chain,1,2
G-269,G-269:c0008,G-269:c0010,10|21,chain,chain,1,3
G-269,G-269:c0008,G-269:c0011,10|21,chain,chain,1,2
G-269,G-269:c0008,G-269:c0012,10|21,chain,chain,1,3
G-269,G-269:c0008,G-269:c0013,10|21,chain,chain,1,4
G-269,G-269:c0008,G-269:c0014,10|21,chain,chain,1,3
G-269,G-269:c0008,G-269:c0015,10|21,chain,chain,1,4
G-269,G-269:c0008,G-269:c0016,21,chain,chain,1,1
G-269,G-269:c0008,G-269:c0017,21,chain,chain,1,2
G-269,G-269:c0008,G-269:c0018,21,chain,chain,1,3
G-269,G-269:c0008,G-269:c0019,21,chain,chain,1,4
G-269,G-269:c0008,G-269:c0020,21,chain,chain,1,4
G-269,G-269:c0008,G-269:c0021,21,chain,chain,1,2
G-269,G-269:c0008,G-269:c0022,21,chain,chain,1,3
G-269,G-269:c0008,G-269:c0023,21,chain,chain,1,4
G-269,G-269:c0008,G-269:c0024,21,chain,chain,1,3
G-269,G-269:c0008,G-269:c0025,21,chain,chain,1,4
G-269,G-269:c0008,G-269:c0026,21,chain,chain,1,2
G-269,G-269:c0008,G-269:c0027,21,chain,chain,1,3
G-269,G-269:c0008,G-269:c0028,21,chain,chain,1,4
G-269,G-269:c0008,G-269:c0029,21,chain,chain,1,3
G-269,G-269:c0008,G-269:c0030,21,chain,chain,1,4
G-269,G-269:c0008,G-269:c0031,21,chain,chain,1,4
G-269,G-269:c0008,G-269:c0032,21,chain,chain,1,3
G-269,G-269:c0008,G-269:c0033,21,chain,chain,1,4
G-269,G-269:c0008,G-269:c0034,21,chain,chain,1,3
G-269,G-269:c0008,G-269:c0035,21,chain,chain,1,4
G-269,G-269:c0008,G-269:c0036,21,chain,chain,1,2
G-269,G-269:c0008,G-269:c0037,21,chain,chain,1,3
G-269,G-269:c0008,G-269:c0038,21,chain,chain,1,1
G-269,G-269:c0008,G-269:c0039,21,chain,chain,1,2
G-269,G-269:c0009,G-269:c0010,1|10|21,chain,chain,2,3
G-269,G-269:c0009,G-269:c0011,10|21,chain,chain,2,2
G-269,G-269:c0009,G-269:c0012,10|21,chain,chain,2,3
G-269,G-269:c0009,G-269:c0013,10|21,chain,chain,2,4
G-269,G-269:c0009,G-269:c0014,10|21,chain,chain,2,3
G-269,G-269:c0009,G-269:c0015,10|21,chain,chain,2,4
G-269,G-269:c0009,G-269:c0016,21,chain,chain,2,1
G-269,G-269:c0009,G-269:c0017,21,chain,chain,2,2
G-269,G-269:c0009,G-269:c0018,21,chain,chain,2,3
G-269,G-269:c0009,G-269:c0019,21,chain,chain,2,4
G-269,G-269:c0009,G-269:c0020,21,chain,chain,2,4
G-269,G-269:c0009,G-269:c0021,21,chain,chain,2,2
G-269,G-269:c0009,G-269:c0022,21,chain,chain,2,3
G-269,G-269:c0009,G-269:c0023,21,chain,chain,2,4
G-269,G-269:c0009,G-269:c0024,21,chain,chain,2,3
G-269,G-269:c0009,G-269:c0025,21,chain,chain,2,4
G-269,G-269:c0009,G-269:c0026,21,chain,chain,2,2
G-269,G-269:c0009,G-269:c0027,21,chain,chain,2,3
G-269,G-269:c0009,G-269:c0028,21,chain,chain,2,4
G-269,G-269:c0009,G-269:c0029,21,chain,chain,2,3
G-269,G-269:c0009,G-269:c0030,21,chain,chain,2,4
G-269,G-269:c0009,G-269:c0031,21,chain,chain,2,4
G-269,G-269:c0009,G-269:c0032,21,chain,chain,2,3
G-269,G-269:c0009,G-269:c0033,21,chain,chain,2,4
G-269,G-269:c0009,G-269:c0034,21,chain,chain,2,3
G-269,G-269:c0009,G-269:c0035,21,chain,chain,2,4
G-269,G-269:c0009,G-269:c0036,21,chain,chain,2,2
G-269,G-269:c0009,G-269:c0037,21,chain,chain,2,3
G-269,G-269:c0009,G-269:c0038,21,chain,chain,2,1
G-269,G-269:c0009,G-269:c0039,21,chain,chain,2,2
G-269,G-269:c0010,G-269:c0011,10|21,chain,chain,3,2
G-269,G-269:c0010,G-269:c0012,10|21,chain,chain,3,3
G-269,G-269:c0010,G-269:c0013,10|21,chain,chain,3,4
G-269,G-269:c0010,G-269:c0014,10|21,chain,chain,3,3
G-269,G-269:c0010,G-269:c0015,10|21|7,chain,chain,3,4
G-269,G-269:c0010,G-269:c0016,21,chain,chain,3,1
G-269,G-269:c0010,G-269:c0017,21,chain,chain,3,2
G-269,G-269:c0010,G-269:c0018,21,chain,chain,3,3
G-269,G-269:c0010,G-269:c0019,21,chain,chain,3,4
G-269,G-269:c0010,G-269:c0020,21,chain,chain,3,4
G-269,G-269:c0010,G-269:c0021,21,chain,chain,3,2
G-269,G-269:c0010,G-269:c0022,21,chain,chain,3,3
G-269,G-269:c0010,G-269:c0023,21,chain,chain,3,4
G-269,G-269:c0010,G-269:c0024,21,chain,chain,3,3
G-269,G-269:c0010,G-269:c0025,21|7,chain,chain,3,4
G-269,G-269:c0010,G-269:c0026,21,chain,chain,3,2
G-269,G-269:c0010,G-269:c0027,21,chain,chain,3,3
G-269,G-269:c0010,G-269:c0028,21,chain,chain,3,4
G-269,G-269:c0010,G-269:c0029,21,chain,chain,3,3
G-269,G-269:c0010,G-269:c0030,21,chain,chain,3,4
G-269,G-269:c0010,G-269:c0031,21,chain,chain,3,4
G-269,G-269:c0010,G-269:c0032,21,chain,chain,3,3
G-269,G-269:c0010,G-269:c0033,21,chain,chain,3,4
G-269,G-269:c0010,G-269:c0034,21,chain,chain,3,3
G-269,G-269:c0010,G-269:c0035,21|7,chain,chain,3,4
G-269,G-269:c0010,G-269:c0036,21,chain,chain,3,2
G-269,G-269:c0010,G-269:c0037,21|7,chain,chain,3,3
G-269,G-269:c0010,G-269:c0038,21,chain,chain,3,1
G-269,G-269:c0010,G-269:c0039,21|7,chain,chain,3,2
G-269,G-269:c0011,G-269:c0012,10|12|21,chain,chain,2,3
G-269,G-269:c0011,G-269:c0013,10|12|21,chain,chain,2,4
G-269,G-269:c0011,G-269:c0014,10|12|21,chain,chain,2,3
G-269,G-269:c0011,G-269:c0015,10|12|21,chain,chain,2,4
G-269,G-269:c0011,G-269:c0016,21,chain,chain,2,1
G-269,G-269:c0011,G-269:c0017,21,chain,chain,2,2
G-269,G-269:c0011,G-269:c0018,12|21,chain,chain,2,3
G-269,G-269:c0011,G-269:c0019,12|21,chain,chain,2,4
G-269,G-269:c0011,G-269:c0020,12|21,chain,chain,2,4
G-269,G-269:c0011,G-269:c0021,12|21,chain,chain,2,2
G-269,G-269:c0011,G-269:c0022,12|21,chain,chain,2,3
G-269,G-269:c0011,G-269:c0023,12|21,chain,chain,2,4
G-269,G-269:c0011,G-269:c0024,12|21,chain,chain,2,3
G-269,G-269:c0011,G-269:c0025,12|21,chain,chain,2,4
G-269,G-269:c0011,G-269:c0026,21,chain,chain,2,2
G-269,G-269:c0011,G-269:c0027,21,chain,chain,2,3
G-269,G-269:c0011,G-269:c0028,12|21,chain,chain,2,4
G-269,G-269:c0011,G-269:c0029,12|21,chain,chain,2,3
G-269,G-269:c0011,G-269:c0030,12|21,chain,chain,2,4
G-269,G-269:c0011,G-269:c0031,12|21,chain,chain,2,4
G-269,G-269:c0011,G-269:c0032,21,chain,chain,2,3
G-269,G-269:c0011,G-269:c0033,21,chain,chain,2,4
G-269,G-269:c0011,G-269:c0034,21,chain,chain,2,3
G-269,G-269:c0011,G-269:c0035,21,chain,chain,2,4
G-269,G-269:c0011,G-269:c0036,21,chain,chain,2,2
G-269,G-269:c0011,G-269:c0037,21,chain,chain,2,3
G-269,G-269:c0011,G-269:c0038,21,chain,chain,2,1
G-269,G-269:c0011,G-269:c0039,21,chain,chain,2,2
G-269,G-269:c0012,G-269:c0013,10|12|14|21,chain,chain,3,4
G-269,G-269:c0012,G-269:c0014,10|12|21,chain,chain,3,3
G-269,G-269:c0012,G-269:c0015,10|12|21,chain,chain,3,4
G-269,G-269:c0012,G-269:c0016,21,chain,chain,3,1
G-269,G-269:c0012,G-269:c0017,21,chain,chain,3,2
G-269,G-269:c0012,G-269:c0018,12|21,chain,chain,3,3
G-269,G-269:c0012,G-269:c0019,12|14|21,chain,chain,3,4
G-269,G-269:c0012,G-269:c0020,12|21,chain,chain,3,4
G-269,G-269:c0012,G-269:c0021,12|21,chain,chain,3,2
G-269,G-269:c0012,G-269:c0022,12|14|21,chain,chain,3,3
G-269,G-269:c0012,G-269:c0023,12|14|21,chain,chain,3,4
G-269,G-269:c0012,G-269:c0024,12|21,chain,chain,3,3
G-269,G-269:c0012,G-269:c0025,12|21,chain,chain,3,4
G-269,G-269:c0012,G-269:c0026,21,chain,chain,3,2
G-269,G-269:c0012,G-269:c0027,21,chain,chain,3,3
G-269,G-269:c0012,G-269:c0028,12|21,chain,chain,3,4
G-269,G-269:c0012,G-269:c0029,12|21,chain,chain,3,3
G-269,G-269:c0012,G-269:c0030,12|14|21,chain,chain,3,4
G-269,G-269:c0012,G-269:c0031,12|21,chain,chain,3,4
G-269,G-269:c0012,G-269:c0032,14|21,chain,chain,3,3
G-269,G-269:c0012,G-269:c0033,14|21,chain,chain,3,4
G-269,G-269:c0012,G-269:c0034,21,chain,chain,3,3
G-269,G-269:c0012,G-269:c0035,21,chain,chain,3,4
G-269,G-269:c0012,G-269:c0036,21,chain,chain,3,2
G-269,G-269:c0012,G-269:c0037,21,chain,chain,3,3
G-269,G-269:c0012,G-269:c0038,21,chain,chain,3,1
G-269,G-269:c0012,G-269:c0039,21,chain,chain,3,2
G-269,G-269:c0013,G-269:c0014,10|12|21,chain,chain,4,3
G-269,G-269:c0013,G-269:c0015,10|12|21,chain,chain,4,4
G-269,G-269:c0013,G-269:c0016,21,chain,chain,4,1
G-269,G-269:c0013,G-269:c0017,21,chain,chain,4,2
G-269,G-269:c0013,G-269:c0018,12|21,chain,chain,4,3
G-269,G-269:c0013,G-269:c0019,12|14|21,chain,chain,4,4
G-269,G-269:c0013,G-269:c0020,12|21,chain,chain,4,4
G-269,G-269:c0013,G-269:c0021,12|21,chain,chain,4,2
G-269,G-269:c0013,G-269:c0022,12|14|21,chain,chain,4,3
G-269,G-269:c0013,G-269:c0023,12|14|15|21,chain,chain,4,4
G-269,G-269:c0013,G-269:c0024,12|21,chain,chain,4,3
G-269,G-269:c0013,G-269:c0025,12|21,chain,chain,4,4
G-269,G-269:c0013,G-269:c0026,21,chain,chain,4,2
G-269,G-269:c0013,G-269:c0027,21,chain,chain,4,3
G-269,G-269:c0013,G-269:c0028,12|21,chain,chain,4,4
G-269,G-269:c0013,G-269:c0029,12|21,chain,chain,4,3
G-269,G-269:c0013,G-269:c0030,12|14|21,chain,chain,4,4
G-269,G-269:c0013,G-269:c0031,12|21,chain,chain,4,4
G-269,G-269:c0013,G-269:c0032,14|21,chain,chain,4,3
G-269,G-269:c0013,G-269:c0033,14|15|21,chain,chain,4,4
G-269,G-269:c0013,G-269:c0034,21,chain,chain,4,3
G-269,G-269:c0013,G-269:c0035,21,chain,chain,4,4
G-269,G-269:c0013,G-269:c0036,21,chain,chain,4,2
G-269,G-269:c0013,G-269:c0037,21,chain,chain,4,3
G-269,G-269:c0013,G-269:c0038,21,chain,chain,4,1
G-269,G-269:c0013,G-269:c0039,21,chain,chain,4,2
G-269,G-269:c0014,G-269:c0015,10|12|21|5,chain,chain,3,4
G-269,G-269:c0014,G-269:c0016,21,chain,chain,3,1
G-269,G-269:c0014,G-269:c0017,21,chain,chain,3,2
G-269,G-269:c0014,G-269:c0018,12|21,chain,chain,3,3
G-269,G-269:c0014,G-269:c0019,12|21,chain,chain,3,4
G-269,G-269:c0014,G-269:c0020,12|21|5,chain,chain,3,4
G-269,G-269:c0014,G-269:c0021,12|21,chain,chain,3,2
G-269,G-269:c0014,G-269:c0022,12|21,chain,chain,3,3
G-269,G-269:c0014,G-269:c0023,12|21,chain,chain,3,4
G-269,G-269:c0014,G-269:c0024,12|21|5,chain,chain,3,3
G-269,G-269:c0014,G-269:c0025,12|21|5,chain,chain,3,4
G-269,G-269:c0014,G-269:c0026,21,chain,chain,3,2
G-269,G-269:c0014,G-269:c0027,21,chain,chain,3,3
G-269,G-269:c0014,G-269:c0028,12|21,chain,chain,3,4
G-269,G-269:c0014,G-269:c0029,12|21,chain,chain,3,3
G-269,G-269:c0014,G-269:c0030,12|21,chain,chain,3,4
G-269,G-269:c0014,G-269:c0031,12|21|5,chain,chain,3,4
G-269,G-269:c0014,G-269:c0032,21,chain,chain,3,3
G-269,G-269:c0014,G-269:c0033,21,chain,chain,3,4
G-269,G-269:c0014,G-269:c0034,21|5,chain,chain,3,3
G-269,G-269:c0014,G-269:c0035,21|5,chain,chain,3,4
G-269,G-269:c0014,G-269:c0036,21|5,chain,chain,3,2
G-269,G-269:c0014,G-269:c0037,21|5,chain,chain,3,3
G-269,G-269:c0014,G-269:c0038,21|5,chain,chain,3,1
G-269,G-269:c0014,G-269:c0039,21|5,chain,chain,3,2
G-269,G-269:c0015,G-269:c0016,21,chain,chain,4,1
G-269,G-269:c0015,G-269:c0017,21,chain,chain,4,2
G-269,G-269:c0015,G-269:c0018,12|21,chain,chain,4,3
G-269,G-269:c0015,G-269:c0019,12|21,chain,chain,4,4
G-269,G-269:c0015,G-269:c0020,12|21|5,chain,chain,4,4
G-269,G-269:c0015,G-269:c0021,12|21,chain,chain,4,2
G-269,G-269:c0015,G-269:c0022,12|21,chain,chain,4,3
G-269,G-269:c0015,G-269:c0023,12|21,chain,chain,4,4
G-269,G-269:c0015,G-269:c0024,12|21|5,chain,chain,4,3
G-269,G-269:c0015,G-269:c0025,12|21|5|7,chain,chain,4,4
G-269,G-269:c0015,G-269:c0026,21,chain,chain,4,2
G-269,G-269:c0015,G-269:c0027,21,chain,chain,4,3
G-269,G-269:c0015,G-269:c0028,12|21,chain,chain,4,4
G-269,G-269:c0015,G-269:c0029,12|21,chain,chain,4,3
G-269,G-269:c0015,G-269:c0030,12|21,chain,chain,4,4
G-269,G-269:c0015,G-269:c0031,12|21|5,chain,chain,4,4
G-269,G-269:c0015,G-269:c0032,21,chain,chain,4,3
G-269,G-269:c0015,G-269:c0033,21,chain,chain,4,4
G-269,G-269:c0015,G-269:c0034,21|5,chain,chain,4,3
G-269,G-269:c0015,G-269:c0035,21|5|7,chain,chain,4,4
G-269,G-269:c0015,G-269:c0036,21|5,chain,chain,4,2
G-269,G-269:c0015,G-269:c0037,21|5|7,chain,chain,4,3
G-269,G-269:c0015,G-269:c0038,21|5,chain,chain,4,1
G-269,G-269:c0015,G-269:c0039,21|5|7,chain,chain,4,2
G-269,G-269:c0016,G-269:c0017,13|21,chain,chain,1,2
G-269,G-269:c0016,G-269:c0018,13|21,chain,chain,1,3
G-269,G-269:c0016,G-269:c0019,13|21,chain,chain,1,4
G-269,G-269:c0016,G-269:c0020,13|21,chain,chain,1,4
G-269,G-269:c0016,G-269:c0021,13|21,chain,chain,1,2
G-269,G-269:c0016,G-269:c0022,13|21,chain,chain,1,3
G-269,G-269:c0016,G-269:c0023,13|21,chain,chain,1,4
G-269,G-269:c0016,G-269:c0024,13|21,chain,chain,1,3
G-269,G-269:c0016,G-269:c0025,13|21,chain,chain,1,4
G-269,G-269:c0016,G-269:c0026,13|21,chain,chain,1,2
G-269,G-269:c0016,G-269:c0027,13|21,chain,chain,1,3
G-269,G-269:c0016,G-269:c0028,13|21,chain,chain,1,4
G-269,G-269:c0016,G-269:c0029,13|21,chain,chain,1,3
G-269,G-269:c0016,G-269:c0030,13|21,chain,chain,1,4
G-269,G-269:c0016,G-269:c0031,13|21,chain,chain,1,4
G-269,G-269:c0016,G-269:c0032,13|21,chain,chain,1,3
G-269,G-269:c0016,G-269:c0033,13|21,chain,chain,1,4
G-269,G-269:c0016,G-269:c0034,13|21,chain,chain,1,3
G-269,G-269:c0016,G-269:c0035,13|21,chain,chain,1,4
