topology_id,candidate_id,candidate_index,candidate_type,length,node_set,edge_set,signature
G-970,G-970:c0024,24,chain,4,21|17|6|1|13,46|34|12|5,chain:21->17->6->1->13
G-970,G-970:c0025,25,chain,4,21|17|6|1|3,46|34|12|1,chain:21->17->6->1->3
G-970,G-970:c0026,26,chain,4,21|17|6|1|8,46|34|12|2,chain:21->17->6->1->8
G-970,G-970:c0027,27,chain,4,21|17|6|1|9,46|34|12|3,chain:21->17->6->1->9
G-970,G-970:c0028,28,chain,3,21|17|6|13,46|34|16,chain:21->17->6->13
G-970,G-970:c0029,29,chain,4,21|17|6|13|1,46|34|16|23,chain:21->17->6->13->1
G-970,G-970:c0030,30,chain,3,21|17|6|7,46|34|13,chain:21->17->6->7
G-970,G-970:c0031,31,chain,4,21|17|6|7|16,46|34|13|17,chain:21->17->6->7->16
G-970,G-970:c0032,32,chain,3,21|17|6|8,46|34|14,chain:21->17->6->8
G-970,G-970:c0033,33,chain,3,21|17|6|9,46|34|15,chain:21->17->6->9
G-970,G-970:c0034,34,chain,1,21|20,47,chain:21->20
G-970,G-970:c0035,35,chain,1,21|9,44,chain:21->9
G-970,G-970:c0036,36,chain,1,22|13,51,chain:22->13
G-970,G-970:c0037,37,chain,2,22|13|1,51|23,chain:22->13->1
G-970,G-970:c0038,38,chain,3,22|13|1|0,51|23|0,chain:22->13->1->0
G-970,G-970:c0039,39,chain,3,22|13|1|10,51|23|4,chain:22->13->1->10
G-970,G-970:c0040,40,chain,4,22|13|1|10|19,51|23|4|19,chain:22->13->1->10->19
G-970,G-970:c0041,41,chain,3,22|13|1|17,51|23|6,chain:22->13->1->17
G-970,G-970:c0042,42,chain,4,22|13|1|17|6,51|23|6|34,chain:22->13->1->17->6
G-970,G-970:c0043,43,chain,3,22|13|1|3,51|23|1,chain:22->13->1->3
G-970,G-970:c0044,44,chain,4,22|13|1|3|19,51|23|1|10,chain:22->13->1->3->19
G-970,G-970:c0045,45,chain,4,22|13|1|3|7,51|23|1|8,chain:22->13->1->3->7
G-970,G-970:c0046,46,chain,4,22|13|1|3|8,51|23|1|9,chain:22->13->1->3->8
G-970,G-970:c0047,47,chain,3,22|13|1|8,51|23|2,chain:22->13->1->8
G-970,G-970:c0048,48,chain,3,22|13|1|9,51|23|3,chain:22->13->1->9
G-970,G-970:c0049,49,chain,1,22|17,52,chain:22->17
G-970,G-970:c0050,50,chain,2,22|17|6,52|34,chain:22->17->6
G-970,G-970:c0051,51,chain,3,22|17|6|1,52|34|12,chain:22->17->6->1
G-970,G-970:c0052,52,chain,4,22|17|6|1|0,52|34|12|0,chain:22->17->6->1->0
G-970,G-970:c0053,53,chain,4,22|17|6|1|10,52|34|12|4,chain:22->17->6->1->10
G-970,G-970:c0054,54,chain,4,22|17|6|1|13,52|34|12|5,chain:22->17->6->1->13
G-970,G-970:c0055,55,chain,4,22|17|6|1|3,52|34|12|1,chain:22->17->6->1->3
G-970,G-970:c0056,56,chain,4,22|17|6|1|8,52|34|12|2,chain:22->17->6->1->8
G-970,G-970:c0057,57,chain,4,22|17|6|1|9,52|34|12|3,chain:22->17->6->1->9
G-970,G-970:c0058,58,chain,3,22|17|6|13,52|34|16,chain:22->17->6->13
G-970,G-970:c0059,59,chain,4,22|17|6|13|1,52|34|16|23,chain:22->17->6->13->1
G-970,G-970:c0060,60,chain,3,22|17|6|7,52|34|13,chain:22->17->6->7
G-970,G-970:c0061,61,chain,4,22|17|6|7|16,52|34|13|17,chain:22->17->6->7->16
G-970,G-970:c0062,62,chain,3,22|17|6|8,52|34|14,chain:22->17->6->8
G-970,G-970:c0063,63,chain,3,22|17|6|9,52|34|15,chain:22->17->6->9
G-970,G-970:c0064,64,chain,1,22|3,48,chain:22->3
G-970,G-970:c0065,65,chain,2,22|3|19,48|10,chain:22->3->19
G-970,G-970:c0066,66,chain,3,22|3|19|1,48|10|39,chain:22->3->19->1
G-970,G-970:c0067,67,chain,4,22|3|19|1|0,48|10|39|0,chain:22->3->19->1->0
G-970,G-970:c0068,68,chain,4,22|3|19|1|10,48|10|39|4,chain:22->3->19->1->10
G-970,G-970:c0069,69,chain,4,22|3|19|1|13,48|10|39|5,chain:22->3->19->1->13
G-970,G-970:c0070,70,chain,4,22|3|19|1|17,48|10|39|6,chain:22->3->19->1->17
G-970,G-970:c0071,71,chain,4,22|3|19|1|8,48|10|39|2,chain:22->3->19->1->8
G-970,G-970:c0072,72,chain,4,22|3|19|1|9,48|10|39|3,chain:22->3->19->1->9
G-970,G-970:c0073,73,chain,3,22|3|19|17,48|10|43,chain:22->3->19->17
G-970,G-970:c0074,74,chain,4,22|3|19|17|6,48|10|43|34,chain:22->3->19->17->6
G-970,G-970:c0075,75,chain,3,22|3|19|8,48|10|41,chain:22->3->19->8
G-970,G-970:c0076,76,chain,3,22|3|19|9,48|10|42,chain:22->3->19->9
G-970,G-970:c0077,77,chain,2,22|3|7,48|8,chain:22->3->7
G-970,G-970:c0078,78,chain,3,22|3|7|16,48|8|17,chain:22->3->7->16
G-970,G-970:c0079,79,chain,4,22|3|7|16|13,48|8|17|33,chain:22->3->7->16->13
G-970,G-970:c0080,80,chain,4,22|3|7|16|9,48|8|17|32,chain:22->3->7->16->9
G-970,G-970:c0081,81,chain,3,22|3|7|17,48|8|18,chain:22->3->7->17
G-970,G-970:c0082,82,chain,4,22|3|7|17|6,48|8|18|34,chain:22->3->7->17->6
G-970,G-970:c0083,83,chain,2,22|3|8,48|9,chain:22->3->8
G-970,G-970:c0084,84,chain,1,22|8,49,chain:22->8
G-970,G-970:c0085,85,chain,1,22|9,50,chain:22->9
G-364,G-364:c0000,0,chain,1,20|6,24,chain:20->6
G-364,G-364:c0001,1,chain,1,21|9,25,chain:21->9
G-364,G-364:c0002,2,chain,2,21|9|12,25|9,chain:21->9->12
G-364,G-364:c0003,3,chain,3,21|9|12|18,25|9|14,chain:21->9->12->18
G-364,G-364:c0004,4,chain,2,21|9|16,25|10,chain:21->9->16
G-364,G-364:c0005,5,chain,3,21|9|16|6,25|10|19,chain:21->9->16->6
G-364,G-364:c0006,6,chain,2,21|9|18,25|11,chain:21->9->18
G-836,G-836:c0000,0,chain,1,22|11,50,chain:22->11
G-836,G-836:c0001,1,chain,1,22|14,51,chain:22->14
G-836,G-836:c0002,2,chain,2,22|14|2,51|34,chain:22->14->2
G-836,G-836:c0003,3,chain,1,22|15,52,chain:22->15
G-836,G-836:c0004,4,chain,1,22|18,53,chain:22->18
G-836,G-836:c0005,5,chain,1,22|2,48,chain:22->2
G-836,G-836:c0006,6,chain,1,22|20,54,chain:22->20
G-836,G-836:c0007,7,chain,2,22|20|11,54|42,chain:22->20->11
G-836,G-836:c0008,8,chain,2,22|20|2,54|40,chain:22->20->2
G-836,G-836:c0009,9,chain,2,22|20|7,54|41,chain:22->20->7
G-836,G-836:c0010,10,chain,3,22|20|7|1,54|41|18,chain:22->20->7->1
G-836,G-836:c0011,11,chain,3,22|20|7|10,54|41|20,chain:22->20->7->10
G-836,G-836:c0012,12,chain,3,22|20|7|11,54|41|21,chain:22->20->7->11
G-836,G-836:c0013,13,chain,3,22|20|7|14,54|41|22,chain:22->20->7->14
G-836,G-836:c0014,14,chain,4,22|20|7|14|2,54|41|22|34,chain:22->20->7->14->2
G-836,G-836:c0015,15,chain,3,22|20|7|2,54|41|19,chain:22->20->7->2
G-836,G-836:c0016,16,chain,1,22|9,49,chain:22->9
G-836,G-836:c0017,17,chain,2,22|9|2,49|28,chain:22->9->2
G-836,G-836:c0018,18,chain,1,23|18,57,chain:23->18
G-836,G-836:c0019,19,chain,1,23|7,55,chain:23->7
G-836,G-836:c0020,20,chain,2,23|7|1,55|18,chain:23->7->1
G-836,G-836:c0021,21,chain,2,23|7|10,55|20,chain:23->7->10
G-836,G-836:c0022,22,chain,2,23|7|11,55|21,chain:23->7->11
G-836,G-836:c0023,23,chain,2,23|7|14,55|22,chain:23->7->14
G-836,G-836:c0024,24,chain,3,23|7|14|2,55|22|34,chain:23->7->14->2
G-836,G-836:c0025,25,chain,2,23|7|2,55|19,chain:23->7->2
G-836,G-836:c0026,26,chain,1,23|8,56,chain:23->8
G-836,G-836:c0027,27,chain,2,23|8|14,56|25,chain:23->8->14
G-836,G-836:c0028,28,chain,3,23|8|14|2,56|25|34,chain:23->8->14->2
G-836,G-836:c0029,29,chain,2,23|8|15,56|26,chain:23->8->15
G-836,G-836:c0030,30,chain,2,23|8|18,56|27,chain:23->8->18
G-836,G-836:c0031,31,chain,2,23|8|2,56|23,chain:23->8->2
G-836,G-836:c0032,32,chain,2,23|8|6,56|24,chain:23->8->6
G-836,G-836:c0033,33,chain,3,23|8|6|11,56|24|14,chain:23->8->6->11
G-836,G-836:c0034,34,chain,3,23|8|6|14,56|24|15,chain:23->8->6->14
G-836,G-836:c0035,35,chain,4,23|8|6|14|2,56|24|15|34,chain:23->8->6->14->2
G-836,G-836:c0036,36,chain,3,23|8|6|15,56|24|16,chain:23->8->6->15
G-836,G-836:c0037,37,chain,3,23|8|6|18,56|24|17,chain:23->8->6->18
G-836,G-836:c0038,38,chain,3,23|8|6|2,56|24|13,chain:23->8->6->2
G-79,G-79:c0000,0,cycle,3,10|13|19,14|20|26,cycle:10->13->19->10
G-79,G-79:c0001,1,cycle,2,2|10,1|12,cycle:2->10->2
G-79,G-79:c0002,2,chain,1,21|10,30,chain:21->10
G-79,G-79:c0003,3,chain,2,21|10|13,30|14,chain:21->10->13
G-79,G-79:c0004,4,chain,3,21|10|13|19,30|14|20,chain:21->10->13->19
G-79,G-79:c0005,5,chain,3,21|10|13|4,30|14|19,chain:21->10->13->4
G-79,G-79:c0006,6,chain,2,21|10|2,30|12,chain:21->10->2
G-79,G-79:c0007,7,chain,2,21|10|4,30|13,chain:21->10->4
G-79,G-79:c0008,8,chain,1,22|10,32,chain:22->10
G-79,G-79:c0009,9,chain,2,22|10|13,32|14,chain:22->10->13
G-79,G-79:c0010,10,chain,3,22|10|13|19,32|14|20,chain:22->10->13->19
G-79,G-79:c0011,11,chain,3,22|10|13|4,32|14|19,chain:22->10->13->4
G-79,G-79:c0012,12,chain,2,22|10|2,32|12,chain:22->10->2
G-79,G-79:c0013,13,chain,2,22|10|4,32|13,chain:22->10->4
G-79,G-79:c0014,14,chain,1,22|13,33,chain:22->13
G-79,G-79:c0015,15,chain,2,22|13|19,33|20,chain:22->13->19
G-79,G-79:c0016,16,chain,3,22|13|19|10,33|20|26,chain:22->13->19->10
G-79,G-79:c0017,17,chain,4,22|13|19|10|2,33|20|26|12,chain:22->13->19->10->2
G-79,G-79:c0018,18,chain,4,22|13|19|10|4,33|20|26|13,chain:22->13->19->10->4
G-79,G-79:c0019,19,chain,2,22|13|4,33|19,chain:22->13->4
G-79,G-79:c0020,20,chain,1,22|9,31,chain:22->9
G-79,G-79:c0021,21,chain,2,22|9|10,31|11,chain:22->9->10
G-79,G-79:c0022,22,chain,3,22|9|10|13,31|11|14,chain:22->9->10->13
G-79,G-79:c0023,23,chain,4,22|9|10|13|19,31|11|14|20,chain:22->9->10->13->19
G-79,G-79:c0024,24,chain,4,22|9|10|13|4,31|11|14|19,chain:22->9->10->13->4
G-79,G-79:c0025,25,chain,3,22|9|10|2,31|11|12,chain:22->9->10->2
G-79,G-79:c0026,26,chain,3,22|9|10|4,31|11|13,chain:22->9->10->4
G-670,G-670:c0000,0,cycle,2,0|12,1|16,cycle:0->12->0
G-670,G-670:c0001,1,cycle,3,0|12|14,1|18|25,cycle:0->12->14->0
G-670,G-670:c0002,2,cycle,3,0|12|20,1|19|28,cycle:0->12->20->0
G-670,G-670:c0003,3,cycle,2,12|20,19|30,cycle:12->20->12
G-670,G-670:c0004,4,chain,1,22|20,34,chain:22->20
G-670,G-670:c0005,5,chain,2,22|20|0,34|28,chain:22->20->0
G-670,G-670:c0006,6,chain,3,22|20|0|12,34|28|1,chain:22->20->0->12
G-670,G-670:c0007,7,chain,4,22|20|0|12|14,34|28|1|18,chain:22->20->0->12->14
G-670,G-670:c0008,8,chain,4,22|20|0|12|21,34|28|1|20,chain:22->20->0->12->21
G-670,G-670:c0009,9,chain,4,22|20|0|12|3,34|28|1|17,chain:22->20->0->12->3
G-670,G-670:c0010,10,chain,3,22|20|0|17,34|28|2,chain:22->20->0->17
G-670,G-670:c0011,11,chain,4,22|20|0|17|7,34|28|2|27,chain:22->20->0->17->7
G-670,G-670:c0012,12,chain,3,22|20|0|7,34|28|0,chain:22->20->0->7
G-670,G-670:c0013,13,chain,4,22|20|0|7|21,34|28|0|7,chain:22->20->0->7->21
G-670,G-670:c0014,14,chain,2,22|20|12,34|30,chain:22->20->12
G-670,G-670:c0015,15,chain,3,22|20|12|0,34|30|16,chain:22->20->12->0
G-670,G-670:c0016,16,chain,4,22|20|12|0|17,34|30|16|2,chain:22->20->12->0->17
G-670,G-670:c0017,17,chain,4,22|20|12|0|7,34|30|16|0,chain:22->20->12->0->7
G-670,G-670:c0018,18,chain,3,22|20|12|14,34|30|18,chain:22->20->12->14
G-670,G-670:c0019,19,chain,4,22|20|12|14|0,34|30|18|25,chain:22->20->12->14->0
G-670,G-670:c0020,20,chain,3,22|20|12|21,34|30|20,chain:22->20->12->21
G-670,G-670:c0021,21,chain,3,22|20|12|3,34|30|17,chain:22->20->12->3
G-670,G-670:c0022,22,chain,2,22|20|14,34|31,chain:22->20->14
G-670,G-670:c0023,23,chain,3,22|20|14|0,34|31|25,chain:22->20->14->0
G-670,G-670:c0024,24,chain,4,22|20|14|0|12,34|31|25|1,chain:22->20->14->0->12
G-670,G-670:c0025,25,chain,4,22|20|14|0|17,34|31|25|2,chain:22->20->14->0->17
G-670,G-670:c0026,26,chain,4,22|20|14|0|7,34|31|25|0,chain:22->20->14->0->7
G-670,G-670:c0027,27,chain,2,22|20|4,34|29,chain:22->20->4
