topology_id,edge_idx,source,target,source_type,target_type,source_match_position
G-784,41,15,18,Pair,Pair,5
G-784,42,16,6,Pair,Pair,0
G-784,43,16,10,Pair,Pair,1
G-784,44,16,11,Pair,Pair,2
G-784,45,16,12,Pair,Pair,3
G-784,46,16,17,Pair,Pair,4
G-784,47,16,18,Pair,Pair,5
G-784,48,17,6,Pair,Pair,0
G-784,49,17,7,Pair,Pair,1
G-784,50,18,6,Pair,Pair,0
G-784,51,19,14,Pair,Pair,0
G-784,52,20,6,NDD,Pair,0
G-784,53,20,12,NDD,Pair,1
G-784,54,20,19,NDD,Pair,2
G-784,55,21,6,NDD,Pair,0
G-784,56,21,14,NDD,Pair,1
G-970,0,1,0,Pair,Pair,0
G-970,1,1,3,Pair,Pair,1
G-970,2,1,8,Pair,Pair,2
G-970,3,1,9,Pair,Pair,3
G-970,4,1,10,Pair,Pair,4
G-970,5,1,13,Pair,Pair,5
G-970,6,1,17,Pair,Pair,6
G-970,7,2,6,Pair,Pair,0
G-970,8,3,7,Pair,Pair,0
G-970,9,3,8,Pair,Pair,1
G-970,10,3,19,Pair,Pair,2
G-970,11,5,16,Pair,Pair,0
G-970,12,6,1,Pair,Pair,0
G-970,13,6,7,Pair,Pair,1
G-970,14,6,8,Pair,Pair,2
G-970,15,6,9,Pair,Pair,3
G-970,16,6,13,Pair,Pair,4
G-970,17,7,16,Pair,Pair,0
G-970,18,7,17,Pair,Pair,1
G-970,19,10,19,Pair,Pair,0
G-970,20,12,8,Pair,Pair,0
G-970,21,12,9,Pair,Pair,1
G-970,22,12,17,Pair,Pair,2
G-970,23,13,1,Pair,Pair,0
G-970,24,14,3,Pair,Pair,0
G-970,25,14,7,Pair,Pair,1
G-970,26,14,8,Pair,Pair,2
G-970,27,14,16,Pair,Pair,3
G-970,28,14,17,Pair,Pair,4
G-970,29,15,7,Pair,Pair,0
G-970,30,15,13,Pair,Pair,1
G-970,31,15,17,Pair,Pair,2
G-970,32,16,9,Pair,Pair,0
G-970,33,16,13,Pair,Pair,1
G-970,34,17,6,Pair,Pair,0
G-970,35,18,1,Pair,Pair,0
G-970,36,18,3,Pair,Pair,1
G-970,37,18,8,Pair,Pair,2
G-970,38,18,13,Pair,Pair,3
G-970,39,19,1,Pair,Pair,0
G-970,40,19,3,Pair,Pair,1
G-970,41,19,8,Pair,Pair,2
G-970,42,19,9,Pair,Pair,3
G-970,43,19,17,Pair,Pair,4
G-970,44,21,9,NDD,Pair,0
G-970,45,21,13,NDD,Pair,1
G-970,46,21,17,NDD,Pair,2
G-970,47,21,20,NDD,Pair,3
G-970,48,22,3,NDD,Pair,0
G-970,49,22,8,NDD,Pair,1
G-970,50,22,9,NDD,Pair,2
G-970,51,22,13,NDD,Pair,3
G-970,52,22,17,NDD,Pair,4
G-364,0,0,10,Pair,Pair,0
G-364,1,1,18,Pair,Pair,0
G-364,2,2,6,Pair,Pair,0
G-364,3,3,9,Pair,Pair,0
G-364,4,4,6,Pair,Pair,0
G-364,5,5,9,Pair,Pair,0
G-364,6,5,18,Pair,Pair,1
G-364,7,8,9,Pair,Pair,0
G-364,8,8,18,Pair,Pair,1
G-364,9,9,12,Pair,Pair,0
G-364,10,9,16,Pair,Pair,1
G-364,11,9,18,Pair,Pair,2
G-364,12,10,9,Pair,Pair,0
G-364,13,11,7,Pair,Pair,0
G-364,14,12,18,Pair,Pair,0
G-364,15,14,9,Pair,Pair,0
G-364,16,14,18,Pair,Pair,1
G-364,17,15,9,Pair,Pair,0
G-364,18,15,18,Pair,Pair,1
G-364,19,16,6,Pair,Pair,0
G-364,20,19,6,Pair,Pair,0
G-364,21,19,9,Pair,Pair,1
G-364,22,19,16,Pair,Pair,2
G-364,23,19,18,Pair,Pair,3
G-364,24,20,6,NDD,Pair,0
G-364,25,21,9,NDD,Pair,0
G-836,0,3,11,Pair,Pair,0
G-836,1,3,14,Pair,Pair,1
G-836,2,4,1,Pair,Pair,0
G-836,3,4,2,Pair,Pair,1
G-836,4,4,14,Pair,Pair,2
G-836,5,4,15,Pair,Pair,3
G-836,6,4,18,Pair,Pair,4
G-836,7,5,1,Pair,Pair,0
G-836,8,5,2,Pair,Pair,1
G-836,9,5,6,Pair,Pair,2
G-836,10,5,11,Pair,Pair,3
G-836,11,5,15,Pair,Pair,4
G-836,12,5,18,Pair,Pair,5
G-836,13,6,2,Pair,Pair,0
G-836,14,6,11,Pair,Pair,1
G-836,15,6,14,Pair,Pair,2
G-836,16,6,15,Pair,Pair,3
G-836,17,6,18,Pair,Pair,4
G-836,18,7,1,Pair,Pair,0
G-836,19,7,2,Pair,Pair,1
G-836,20,7,10,Pair,Pair,2
G-836,21,7,11,Pair,Pair,3
G-836,22,7,14,Pair,Pair,4
G-836,23,8,2,Pair,Pair,0
G-836,24,8,6,Pair,Pair,1
G-836,25,8,14,Pair,Pair,2
G-836,26,8,15,Pair,Pair,3
G-836,27,8,18,Pair,Pair,4
G-836,28,9,2,Pair,Pair,0
G-836,29,13,1,Pair,Pair,0
G-836,30,13,2,Pair,Pair,1
G-836,31,13,6,Pair,Pair,2
G-836,32,13,7,Pair,Pair,3
G-836,33,13,11,Pair,Pair,4
G-836,34,14,2,Pair,Pair,0
G-836,35,17,1,Pair,Pair,0
G-836,36,17,7,Pair,Pair,1
G-836,37,17,11,Pair,Pair,2
G-836,38,17,14,Pair,Pair,3
G-836,39,17,18,Pair,Pair,4
G-836,40,20,2,Pair,Pair,0
G-836,41,20,7,Pair,Pair,1
G-836,42,20,11,Pair,Pair,2
G-836,43,21,6,Pair,Pair,0
G-836,44,21,8,Pair,Pair,1
G-836,45,21,9,Pair,Pair,2
G-836,46,21,14,Pair,Pair,3
G-836,47,21,18,Pair,Pair,4
G-836,48,22,2,NDD,Pair,0
G-836,49,22,9,NDD,Pair,1
G-836,50,22,11,NDD,Pair,2
G-836,51,22,14,NDD,Pair,3
G-836,52,22,15,NDD,Pair,4
G-836,53,22,18,NDD,Pair,5
G-836,54,22,20,NDD,Pair,6
G-836,55,23,7,NDD,Pair,0
G-836,56,23,8,NDD,Pair,1
G-836,57,23,18,NDD,Pair,2
G-79,0,0,4,Pair,Pair,0
G-79,1,2,10,Pair,Pair,0
G-79,2,3,4,Pair,Pair,0
G-79,3,5,9,Pair,Pair,0
G-79,4,5,10,Pair,Pair,1
G-79,5,5,13,Pair,Pair,2
G-79,6,7,10,Pair,Pair,0
G-79,7,8,9,Pair,Pair,0
G-79,8,8,10,Pair,Pair,1
G-79,9,8,13,Pair,Pair,2
G-79,10,8,19,Pair,Pair,3
G-79,11,9,10,Pair,Pair,0
G-79,12,10,2,Pair,Pair,0
G-79,13,10,4,Pair,Pair,1
G-79,14,10,13,Pair,Pair,2
G-79,15,11,4,Pair,Pair,0
G-79,16,11,9,Pair,Pair,1
G-79,17,11,10,Pair,Pair,2
G-79,18,11,13,Pair,Pair,3
G-79,19,13,4,Pair,Pair,0
G-79,20,13,19,Pair,Pair,1
G-79,21,14,4,Pair,Pair,0
G-79,22,14,10,Pair,Pair,1
G-79,23,14,13,Pair,Pair,2
G-79,24,15,19,Pair,Pair,0
G-79,25,16,4,Pair,Pair,0
G-79,26,19,10,Pair,Pair,0
G-79,27,20,4,Pair,Pair,0
G-79,28,20,9,Pair,Pair,1
G-79,29,20,13,Pair,Pair,2
G-79,30,21,10,NDD,Pair,0
G-79,31,22,9,NDD,Pair,0
G-79,32,22,10,NDD,Pair,1
G-79,33,22,13,NDD,Pair,2
G-670,0,0,7,Pair,Pair,0
G-670,1,0,12,Pair,Pair,1
G-670,2,0,17,Pair,Pair,2
G-670,3,2,4,Pair,Pair,0
G-670,4,4,7,Pair,Pair,0
G-670,5,5,7,Pair,Pair,0
G-670,6,6,7,Pair,Pair,0
G-670,7,7,21,Pair,Pair,0
G-670,8,8,3,Pair,Pair,0
G-670,9,8,7,Pair,Pair,1
G-670,10,8,14,Pair,Pair,2
G-670,11,8,21,Pair,Pair,3
G-670,12,9,12,Pair,Pair,0
G-670,13,9,15,Pair,Pair,1
G-670,14,9,17,Pair,Pair,2
G-670,15,9,20,Pair,Pair,3
G-670,16,12,0,Pair,Pair,0
G-670,17,12,3,Pair,Pair,1
G-670,18,12,14,Pair,Pair,2
G-670,19,12,20,Pair,Pair,3
G-670,20,12,21,Pair,Pair,4
G-670,21,13,3,Pair,Pair,0
G-670,22,13,6,Pair,Pair,1
G-670,23,13,7,Pair,Pair,2
G-670,24,13,20,Pair,Pair,3
G-670,25,14,0,Pair,Pair,0
G-670,26,15,7,Pair,Pair,0
G-670,27,17,7,Pair,Pair,0
G-670,28,20,0,Pair,Pair,0
G-670,29,20,4,Pair,Pair,1
G-670,30,20,12,Pair,Pair,2
G-670,31,20,14,Pair,Pair,3
G-670,32,22,4,NDD,Pair,0
G-670,33,22,7,NDD,Pair,1
G-670,34,22,20,NDD,Pair,2
G-670,35,23,7,NDD,Pair,0
