method,train_size,selected_epoch,theta_1,theta_2,selection_metric,selection_value,test_mean_decision_gap,test_mean_normalized_gap,test_median_normalized_gap,test_mean_achieved_oracle_ratio,paired_mean_improvement_over_2stage,paired_median_improvement_over_2stage,fraction_improved_over_2stage,paired_mean_improvement_ci_low,paired_mean_improvement_ci_high,model_path,source,source_root,dataset_key,dataset_title,summary_file,method_id,method_label,evaluation_dataset,evaluation_graph_count
2stage,600,500,9.889878111949178,5.096322811347451,validation_mse_loss,0.46848061650311046,0.8222640132904053,0.0059089739868425275,0.0,0.9940910260131111,,,,,,surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=600/model_weights/2stage_best_by_validation_mse_loss.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=600/metrics/test_summary.csv,2stage_val_mse,2stage (val MSE),,
e2e,600,130,8.321975704204249,4.2028905865086115,validation_decision_gap,0.7164170932769776,0.807284460067749,0.005808629419418262,0.0,0.9941913705805361,0.01497955322265625,0.0,0.01,-0.008907893180847167,0.046525231361389155,surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=600/model_weights/e2e_best_by_validation_decision_gap.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=600/metrics/test_summary.csv,fy_val_gap,FY (val gap),,
e2e,600,490,12.23279594964859,5.8585880886386175,validation_fy_loss,1.7148165625929832,0.7506573390960694,0.005497336014803804,0.0,0.9945026639851521,0.07160667419433593,0.0,0.0425,0.013739223003387452,0.13472015857696534,surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=600/model_weights/e2e_best_by_validation_fy_loss.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=600/metrics/test_summary.csv,fy_val_fy,FY (val FY),,
spoplus,600,110,6.8531717966111865,3.5498675439889964,validation_decision_gap,0.724378944080323,0.8480284786224366,0.0061104630092959945,5.4685248175492305e-05,0.9938895369906561,-0.02576446533203125,0.0,0.0,-0.07335457134246826,0.0,surrogate_experiment_results/Step1c/remote_results/formal_spoplus_lr0.1_2stage500_spoplus500_s10_val2000_server/train_size=600/model_weights/spoplus_best_by_validation_decision_gap.npz,step1c,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=600/metrics/test_summary.csv,spoplus_val_gap,SPO+ (val gap),,
spoplus,600,500,9.195625492695093,4.51173976803548,validation_spoplus_loss,2.7924097095714724,0.7706106662750244,0.005609810027576595,0.0,0.9943901899723787,0.05165334701538086,0.0,0.0325,0.00436543369293213,0.11115861177444455,surrogate_experiment_results/Step1c/remote_results/formal_spoplus_lr0.1_2stage500_spoplus500_s10_val2000_server/train_size=600/model_weights/spoplus_best_by_validation_spoplus_loss.npz,step1c,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=600/metrics/test_summary.csv,spoplus_val_spoplus,SPO+ (val SPO+),,
2stage,1200,500,9.884759085043632,5.0949207114226684,validation_mse_loss,0.4686699449629829,0.8440677356719971,0.006085478327501828,0.0,0.9939145216724503,,,,,,surrogate_experiment_results/Step1c/remote_results/formal_spoplus_lr0.1_2stage500_spoplus500_s10_val2000_server/train_size=1200/model_weights/2stage_best_by_validation_mse_loss.npz,step1c,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=1200/metrics/test_summary.csv,2stage_val_mse,2stage (val MSE),,
spoplus,1200,130,7.036888949844284,3.681969341759868,validation_decision_gap,0.7236033425442875,0.8449599742889404,0.0060926617623789335,5.4685248175492305e-05,0.9939073382375732,-0.0008922386169433594,0.0,0.0025,-0.009845122337341307,0.008177509307861328,surrogate_experiment_results/Step1c/remote_results/formal_spoplus_lr0.1_2stage500_spoplus500_s10_val2000_server/train_size=1200/model_weights/spoplus_best_by_validation_decision_gap.npz,step1c,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=1200/metrics/test_summary.csv,spoplus_val_gap,SPO+ (val gap),,
spoplus,1200,500,9.000945535996426,4.485604772230765,validation_spoplus_loss,2.8007198406663445,0.7846226978302002,0.005697135789592694,0.0,0.9943028642103622,0.059445037841796874,0.0,0.0275,0.0032899641990661627,0.1312425980567932,surrogate_experiment_results/Step1c/remote_results/formal_spoplus_lr0.1_2stage500_spoplus500_s10_val2000_server/train_size=1200/model_weights/spoplus_best_by_validation_spoplus_loss.npz,step1c,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000,heldout400,"Held-out noisy-linear test
400 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=1200/metrics/test_summary.csv,spoplus_val_spoplus,SPO+ (val SPO+),,
2stage,50,500,9.870747607820084,5.112999896631308,validation_mse_loss,0.4694900125041546,0.676360968875885,0.0050979723861370235,0.0,0.9949020276138203,,,,,,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=50/model_weights/2stage_best_by_validation_mse_loss.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,unseen10000,"Unseen noisy-linear test
10000 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=50/metrics/unseen10000_summary.csv,2stage_val_mse,2stage (val MSE),dataset/processed/step1_noisy_linear_sigma010_unseen_test10000_seed20260520,10000
e2e,50,50,5.480679355018847,2.8131824778900354,validation_decision_gap,0.721093547821045,0.6773349862098694,0.005107259802287468,0.0,0.9948927401976696,-0.000974017333984375,0.0,0.0021,-0.0032686680221557618,0.0011785336875915525,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=50/model_weights/e2e_best_by_validation_decision_gap.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,unseen10000,"Unseen noisy-linear test
10000 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=50/metrics/unseen10000_summary.csv,fy_val_gap,FY (val gap),dataset/processed/step1_noisy_linear_sigma010_unseen_test10000_seed20260520,10000
e2e,50,440,11.830440344475832,5.020811341353216,validation_fy_loss,1.7592133313417435,0.7157072571754456,0.005411337239790856,0.0,0.9945886627601634,-0.03934628829956055,0.0,0.0634,-0.055022583379745485,-0.02409391163825989,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=50/model_weights/e2e_best_by_validation_fy_loss.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,unseen10000,"Unseen noisy-linear test
10000 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=50/metrics/unseen10000_summary.csv,fy_val_fy,FY (val FY),dataset/processed/step1_noisy_linear_sigma010_unseen_test10000_seed20260520,10000
spoplus,50,100,6.724492060157461,3.4149374749998125,validation_decision_gap,0.7208266959749162,0.6800565983772278,0.0051273522196002164,0.0,0.9948726477803568,-0.0010096660614013673,0.0,0.0048,-0.0044363184070587165,0.002509932975769042,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=50/model_weights/spoplus_best_by_validation_decision_gap.npz,step1c,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000,unseen10000,"Unseen noisy-linear test
10000 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=50/metrics/unseen10000_summary.csv,spoplus_val_gap,SPO+ (val gap),dataset/processed/step1_noisy_linear_sigma010_unseen_test10000_seed20260520,10000
spoplus,50,480,9.115521838272171,4.137967673645587,validation_spoplus_loss,2.869202013805875,0.6909151036262512,0.005220049246494545,0.0,0.9947799507534615,-0.011868171310424804,0.0,0.0436,-0.0240318243598938,0.00029268054962157907,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=50/model_weights/spoplus_best_by_validation_spoplus_loss.npz,step1c,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000,unseen10000,"Unseen noisy-linear test
10000 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=50/metrics/unseen10000_summary.csv,spoplus_val_spoplus,SPO+ (val SPO+),dataset/processed/step1_noisy_linear_sigma010_unseen_test10000_seed20260520,10000
2stage,200,500,9.8848105243849,5.10380165743099,validation_mse_loss,0.4687730366753866,0.6802126988410949,0.005127125435961937,0.0,0.994872874563995,,,,,,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=200/model_weights/2stage_best_by_validation_mse_loss.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,unseen10000,"Unseen noisy-linear test
10000 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=200/metrics/unseen10000_summary.csv,2stage_val_mse,2stage (val MSE),dataset/processed/step1_noisy_linear_sigma010_unseen_test10000_seed20260520,10000
e2e,200,240,10.355910093305033,5.229903298500468,validation_decision_gap,0.7160169925689698,0.6797334389686585,0.00512502399603507,0.0,0.9948749760039219,0.0004792598724365234,0.0,0.0057,-0.0036602231693267824,0.00444331175804138,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=200/model_weights/e2e_best_by_validation_decision_gap.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,unseen10000,"Unseen noisy-linear test
10000 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=200/metrics/unseen10000_summary.csv,fy_val_gap,FY (val gap),dataset/processed/step1_noisy_linear_sigma010_unseen_test10000_seed20260520,10000
e2e,200,500,12.26819355733857,6.064882815738364,validation_fy_loss,1.7131499949097633,0.6793458348274231,0.005133389316892726,0.0,0.994866610683064,0.000866864013671875,0.0,0.0143,-0.00593601526260376,0.0076704737758636465,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=200/model_weights/e2e_best_by_validation_fy_loss.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,unseen10000,"Unseen noisy-linear test
10000 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=200/metrics/unseen10000_summary.csv,fy_val_fy,FY (val FY),dataset/processed/step1_noisy_linear_sigma010_unseen_test10000_seed20260520,10000
spoplus,200,130,7.033416681027098,3.585472416406193,validation_decision_gap,0.7231411470398307,0.6799061528205872,0.005126171634758578,0.0,0.9948738283651984,2.079925537109375e-05,0.0,0.0018,-0.002080152568817139,0.002113424835205077,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=200/model_weights/spoplus_best_by_validation_decision_gap.npz,step1c,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000,unseen10000,"Unseen noisy-linear test
10000 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=200/metrics/unseen10000_summary.csv,spoplus_val_gap,SPO+ (val gap),dataset/processed/step1_noisy_linear_sigma010_unseen_test10000_seed20260520,10000
spoplus,200,500,9.046202384499855,4.4395764584911594,validation_spoplus_loss,2.8017168912538084,0.6794085183143616,0.005134627587872066,0.0,0.9948653724120846,0.0005184337615966797,0.0,0.0172,-0.006606032123565674,0.00780839178085327,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=200/model_weights/spoplus_best_by_validation_spoplus_loss.npz,step1c,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000,unseen10000,"Unseen noisy-linear test
10000 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=200/metrics/unseen10000_summary.csv,spoplus_val_spoplus,SPO+ (val SPO+),dataset/processed/step1_noisy_linear_sigma010_unseen_test10000_seed20260520,10000
2stage,600,500,9.889878111949178,5.096322811347451,validation_mse_loss,0.46848061650311046,0.6755282395362854,0.00509397396849779,0.0,0.9949060260314594,,,,,,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=600/model_weights/2stage_best_by_validation_mse_loss.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,unseen10000,"Unseen noisy-linear test
10000 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=600/metrics/unseen10000_summary.csv,2stage_val_mse,2stage (val MSE),dataset/processed/step1_noisy_linear_sigma010_unseen_test10000_seed20260520,10000
e2e,600,130,8.321975704204249,4.2028905865086115,validation_decision_gap,0.7164170932769776,0.6782753167152404,0.005113999409231016,0.0,0.9948860005907262,-0.0027470771789550783,0.0,0.0054,-0.0070821480369567865,0.0014182549381256096,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=600/model_weights/e2e_best_by_validation_decision_gap.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,unseen10000,"Unseen noisy-linear test
10000 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=600/metrics/unseen10000_summary.csv,fy_val_gap,FY (val gap),dataset/processed/step1_noisy_linear_sigma010_unseen_test10000_seed20260520,10000
e2e,600,490,12.23279594964859,5.8585880886386175,validation_fy_loss,1.7148165625929832,0.6804138680458068,0.0051402741454621495,0.0,0.9948597258544946,-0.004885628509521484,0.0,0.0267,-0.014216558275222778,0.00540163152694702,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=600/model_weights/e2e_best_by_validation_fy_loss.npz,step1b,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000,unseen10000,"Unseen noisy-linear test
10000 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1b/remote_results/formal_M16_2stage500_e2e500_s10_val2000/train_size=600/metrics/unseen10000_summary.csv,fy_val_fy,FY (val FY),dataset/processed/step1_noisy_linear_sigma010_unseen_test10000_seed20260520,10000
spoplus,600,110,6.8531717966111865,3.5498675439889964,validation_decision_gap,0.724378944080323,0.6786872143745423,0.005116137078567793,0.0,0.9948838629213893,0.0009950939178466796,0.0,0.0029,-0.0011144657993316651,0.0033721607303619384,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=600/model_weights/spoplus_best_by_validation_decision_gap.npz,step1c,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000,unseen10000,"Unseen noisy-linear test
10000 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=600/metrics/unseen10000_summary.csv,spoplus_val_gap,SPO+ (val gap),dataset/processed/step1_noisy_linear_sigma010_unseen_test10000_seed20260520,10000
spoplus,600,500,9.195625492695093,4.51173976803548,validation_spoplus_loss,2.7924097095714724,0.6795483757972717,0.005135539812648559,0.0,0.9948644601873082,0.0001339324951171875,0.0,0.0167,-0.006855420198440551,0.007407304830551147,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=600/model_weights/spoplus_best_by_validation_spoplus_loss.npz,step1c,/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000,unseen10000,"Unseen noisy-linear test
10000 graphs",/home/weikang/projects/UdeM-Intern/Exps/surrogate_experiment_results/Step1c/remote_results/formal_spoplus_ablation_val2000/train_size=600/metrics/unseen10000_summary.csv,spoplus_val_spoplus,SPO+ (val SPO+),dataset/processed/step1_noisy_linear_sigma010_unseen_test10000_seed20260520,10000
