topology_id,phase_b_outcome,total_jobs,completed_jobs,success_jobs,skipped_jobs,failed_jobs,metric_jobs,train_seed_min,train_seed_max,train_sample_count,validation_sample_count,test_sample_count,mean_spoplus_improvement_gap,median_spoplus_improvement_gap,std_spoplus_improvement_gap,min_spoplus_improvement_gap,max_spoplus_improvement_gap,max_abs_spoplus_improvement_gap,mean_abs_spoplus_improvement_gap,p10_spoplus_improvement_gap,p90_spoplus_improvement_gap,better_count,worse_count,tied_count,fraction_spoplus_better,fraction_spoplus_worse,fraction_tied,mean_test_gap_2stage,mean_test_gap_spoplus,mean_test_normalized_gap_2stage,mean_test_normalized_gap_spoplus,mean_spoplus_improvement_normalized_gap,mean_success_elapsed_seconds,median_success_elapsed_seconds,phase_b_selection_rank,complexity_bin,structural_type,landscape_regime,screening_score,phase_b_selection_reason,num_exchange_candidates,num_cycles_total,num_3cycles,num_chains_total,candidate_conflict_density,mean_candidates_per_vertex,num_distinct_oracle_solutions,oracle_solution_entropy,dominant_oracle_solution_fraction,fraction_linear_proxy_differs_from_oracle,mean_linear_proxy_normalized_gap_to_oracle,median_top1_top2_margin,mean_pairwise_oracle_jaccard
G-97,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.08533685302734376,0.08533685302734376,0.0006978980090884243,0.0006978980090884243,0.0,29.564,29.59,111,rich,cycle_chain,proxy_aligned,0.44487535,quota_rich:cycle_chain:proxy_aligned,74,8,5,66,0.7793409848204369,13.681818181818182,2,0.25363894692169137,0.93,0.07,0.0006761793360539701,0.4180499999999938,0.953030303030303
G-100,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.3633105354309082,0.3633105354309082,0.0068262245130596725,0.0068262245130596725,0.0,21.3184,21.355,66,medium_rich,chain_only,neutral,0.37441717,quota_medium_rich:chain_only:neutral,27,0,0,27,0.8917378917378918,4.363636363636363,2,0.6474466390346325,0.65,0.35,0.006533061989327432,1.3587999999999951,0.8468013468013468
G-103,helpful,50,50,50,0,0,50,1,50,40,10,1000,11.66715861606598,11.66715861606598,0.0,11.66715861606598,11.66715861606598,11.66715861606598,11.66715861606598,11.66715861606598,11.66715861606598,50,0,0,1.0,0.0,0.0,13.916444737434388,2.2492861213684083,0.33640899632847626,0.05763083017552007,0.2787781661529562,20.7352,20.725,47,low_medium,chain_only,proxy_hard,0.66987841,quota_low_medium:chain_only:proxy_hard,13,0,0,13,0.6923076923076923,1.5,7,1.6112149847612451,0.39,0.96,0.2502273128676389,2.165800000000001,0.42994612794612797
G-112,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.4734,20.465,54,low_medium,cycle_chain,easy_control,0.22170178,quota_low_medium:cycle_chain:easy_control,13,1,1,12,0.9230769230769231,2.1363636363636362,1,0.0,1.0,0.0,0.0,1.0171499999999938,1.0
G-117,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.5919391975402832,0.5919391975402832,0.02080448330127179,0.02080448330127179,0.0,24.7932,24.795,73,medium_rich,cycle_chain,high_variance,0.62604323,quota_medium_rich:cycle_chain:high_variance,32,4,3,28,0.9495967741935484,5.363636363636363,7,1.4719682593255339,0.52,0.48,0.02410571514096325,0.8240500000000015,0.6544175084175085
G-118,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.0011433029174804687,0.0011433029174804687,4.182116137154269e-05,4.182116137154269e-05,0.0,19.7984,19.805,7,sparse_simple,cycle_chain,proxy_aligned,0.1918827,quota_sparse_simple:cycle_chain:proxy_aligned,7,1,0,6,0.9523809523809523,0.7727272727272727,2,0.13474216817976675,0.97,0.03,0.00021058644370224285,2.0329499999999996,0.9608080808080808
G-123,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,7.703645557403564,7.703645557403564,0.13102710344135307,0.13102710344135307,0.0,30.0192,29.985,113,rich,cycle_chain,proxy_hard,0.92442604,quota_rich:cycle_chain:proxy_hard,65,6,3,59,0.9245192307692308,11.045454545454545,11,1.7734822107349046,0.34,0.88,0.1577064786524758,0.4289999999999985,0.4429007754310785
G-124,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,15.733993370056153,15.733993370056153,0.15899934095843624,0.15899934095843624,0.0,32.6504,32.66,130,rich,cycle_chain,proxy_hard,0.90064358,quota_rich:cycle_chain:proxy_hard,59,3,1,56,0.6411455289304501,9.636363636363637,9,1.2749532406603254,0.51,1.0,0.15882912727797782,1.66995,0.7347319055803904
G-137,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,10.282837299346923,10.282837299346923,0.10283436548788785,0.10283436548788785,0.0,37.107,37.09,135,rich,cycle_chain,proxy_hard,0.88879915,quota_rich:cycle_chain:proxy_hard,73,4,1,69,0.817351598173516,12.863636363636363,6,1.2756754142700537,0.56,0.85,0.10992337555083252,3.121399999999994,0.734534939807667
G-154,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.11532431125640868,0.11532431125640868,0.007783966484558519,0.007783966484558519,0.0,18.9934,19.045,18,sparse_simple,chain_only,proxy_aligned,0.17477186,quota_sparse_simple:chain_only:proxy_aligned,6,0,0,6,0.7333333333333333,0.6818181818181818,2,0.2787693717685874,0.92,0.08,0.006229445598950411,0.8490499999999983,0.8884848484848484
G-157,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,1.7581035823822022,1.7581035823822022,0.03687360407723226,0.03687360407723226,0.0,21.0898,21.09,38,low_medium,cycle_chain,high_variance,0.52181806,quota_low_medium:cycle_chain:high_variance,17,1,0,16,0.8382352941176471,2.4545454545454546,4,1.1110165777384968,0.52,0.48,0.026529586338139344,0.8197999999999972,0.7196825396825397
G-160,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.4618889980316162,0.4618889980316162,0.023980877111306306,0.023980877111306306,0.0,20.4198,20.425,29,low_medium,chain_only,high_variance,0.46130102,quota_low_medium:chain_only:high_variance,11,0,0,11,0.7090909090909091,1.3181818181818181,5,1.2691561031778498,0.53,0.47,0.03284661563930923,0.7885000000000026,0.5647340067340068
G-162,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.4971493921279907,0.4971493921279907,0.05265381313903544,0.05265381313903544,0.0,20.6592,20.675,14,sparse_simple,chain_only,high_variance,0.41004092,quota_sparse_simple:chain_only:high_variance,8,0,0,8,0.6428571428571429,0.8181818181818182,4,1.0276025558362254,0.62,0.38,0.04498289784128546,0.9717999999999991,0.5654848484848485
G-164,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,5.040828289031983,5.040828289031983,0.13244346363015647,0.13244346363015647,0.0,24.3626,24.299999999999997,46,low_medium,cycle_chain,proxy_hard,0.72817381,quota_low_medium:cycle_chain:proxy_hard,20,1,0,19,0.7631578947368421,2.727272727272727,5,1.5635885774494045,0.31,0.82,0.12769188574506374,0.9718000000000018,0.46625733525733526
G-170,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.8184,18.84,20,sparse_simple,chain_only,easy_control,0.12303909,quota_sparse_simple:chain_only:easy_control,5,0,0,5,0.8,0.5454545454545454,1,0.0,1.0,0.0,0.0,0.11380000000000123,1.0
G-179,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.4832037944793701,0.4832037944793701,0.05417353746688023,0.05417353746688023,0.0,20.7542,20.775,21,sparse_simple,cycle_chain,proxy_hard,0.54283722,quota_sparse_simple:cycle_chain:proxy_hard,8,1,0,7,0.8571428571428571,1.0454545454545454,3,1.0118253663955132,0.43,0.58,0.04663965999888655,0.0969499999999992,0.5411515151515152
G-186,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,1.2074230842590332,1.2074230842590332,0.02125217905361022,0.02125217905361022,0.0,21.9852,21.96,85,medium_rich,cycle_chain,neutral,0.48430764,quota_medium_rich:cycle_chain:neutral,27,3,1,24,0.9658119658119658,4.5,3,0.7745369725253819,0.67,0.33,0.016731040783354335,2.4627499999999927,0.6593181818181818
G-195,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.2756,20.270000000000003,35,low_medium,chain_only,easy_control,0.16076801,quota_low_medium:chain_only:easy_control,17,0,0,17,0.9117647058823529,2.5454545454545454,1,0.0,1.0,0.0,0.0,0.48460000000000747,1.0
G-199,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.33337508392333987,0.33337508392333987,0.0048042293131476945,0.0048042293131476945,0.0,22.5032,22.52,86,medium_rich,chain_only,neutral,0.34416149,quota_medium_rich:chain_only:neutral,34,0,0,34,0.9500891265597148,4.954545454545454,2,0.5392763414970504,0.77,0.23,0.006533952898106061,3.030550000000005,0.8211111111111111
G-204,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.08560109519958496,0.08560109519958496,0.0024872662838039067,0.0024872662838039067,0.0,26.3708,26.354999999999997,68,medium_rich,chain_only,proxy_aligned,0.25820619,quota_medium_rich:chain_only:proxy_aligned,32,0,0,32,0.6995967741935484,4.5,2,0.30253782309749805,0.91,0.09,0.0031291616747764314,0.7404000000000011,0.9290909090909091
G-206,harmful,50,50,50,0,0,50,1,50,40,10,1000,-1.4465030841827389,-1.4465030841827389,0.0,-1.4465030841827389,-1.4465030841827389,1.4465030841827389,1.4465030841827389,-1.4465030841827389,-1.4465030841827389,0,50,0,0.0,1.0,0.0,4.049408409118652,5.495911493301391,0.1171909532074551,0.1552881787591586,-0.0380972255517035,26.0332,25.994999999999997,61,medium_rich,cycle_chain,proxy_hard,0.82772799,quota_medium_rich:cycle_chain:proxy_hard,29,6,2,23,0.9334975369458128,4.954545454545454,9,1.8312179529654316,0.31,0.9,0.14728238249173822,0.8301000000000016,0.42074651274651276
G-207,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.25609718322753905,0.25609718322753905,0.003546835801759267,0.003546835801759267,0.0,22.4286,22.439999999999998,76,medium_rich,chain_only,neutral,0.35128295,quota_medium_rich:chain_only:neutral,24,0,0,24,0.6702898550724637,3.1363636363636362,3,0.7262795138741637,0.73,0.27,0.005339808395290456,0.31250000000000355,0.8626839826839827
G-220,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.29542201232910154,0.29542201232910154,0.004459853531407077,0.004459853531407077,0.0,20.8638,20.82,98,medium_rich,chain_only,proxy_aligned,0.20870236,quota_medium_rich:chain_only:proxy_aligned,28,0,0,28,0.7724867724867724,4.136363636363637,2,0.22696752250060448,0.94,0.06,0.0016745680323920415,8.824899999999992,0.9511688311688312
G-221,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,7.073282257080078,7.073282257080078,0.09643397649110154,0.09643397649110154,0.0,36.239,36.285,148,extreme,cycle_chain,proxy_hard,0.91465501,quota_extreme:all_available,113,7,4,106,0.8805309734513275,20.727272727272727,13,2.1198236566366537,0.31,0.93,0.09261015293267792,1.0964499999999973,0.49844087898633355
G-222,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.002247398376464844,0.002247398376464844,4.231476640369761e-05,4.231476640369761e-05,0.0,21.068,20.99,52,low_medium,cycle_chain,proxy_aligned,0.27006288,quota_low_medium:cycle_chain:proxy_aligned,17,2,1,15,0.875,2.5454545454545454,2,0.13474216817976675,0.97,0.03,2.0566568431210456e-05,0.35749999999999815,0.9804040404040404
G-227,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.0915332064628601,0.0915332064628601,0.007768826094618064,0.007768826094618064,0.0,19.7634,19.79,8,sparse_simple,chain_only,proxy_aligned,0.1854708,quota_sparse_simple:chain_only:proxy_aligned,8,0,0,8,0.7142857142857143,0.8636363636363636,3,0.23216582669633543,0.95,0.05,0.005483629135848732,0.015799999999998704,0.9124242424242425
G-235,helpful,50,50,50,0,0,50,1,50,40,10,1000,2.020559015274048,2.020559015274048,0.0,2.020559015274048,2.020559015274048,2.020559015274048,2.020559015274048,2.020559015274048,2.020559015274048,50,0,0,1.0,0.0,0.0,4.771519438743591,2.7509604234695435,0.21639000541006742,0.12615524659246596,0.09023475881760146,20.6666,20.634999999999998,27,low_medium,chain_only,proxy_hard,0.69055226,quota_low_medium:chain_only:proxy_hard,20,0,0,20,0.9105263157894737,2.8636363636363638,5,1.2263990831340559,0.56,0.84,0.13698761012715094,1.4566,0.5254006734006734
G-237,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.04828425979614258,0.04828425979614258,0.0007879382792386257,0.0007879382792386257,0.0,34.2378,34.269999999999996,117,rich,cycle_chain,proxy_aligned,0.43467849,quota_rich:cycle_chain:proxy_aligned,67,7,4,60,0.9692446856625961,11.909090909090908,3,0.33422114621338295,0.92,0.08,0.002348370840448342,8.478799999999996,0.913958633958634
G-243,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.7293691806793213,0.7293691806793213,0.037188303572570004,0.037188303572570004,0.0,21.0278,21.009999999999998,59,low_medium,chain_only,high_variance,0.43141766,quota_low_medium:chain_only:high_variance,13,0,0,13,0.6923076923076923,1.5,4,1.0194287442412808,0.6,0.4,0.049887792083732854,1.736950000000002,0.481010101010101
G-248,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,2.3456343231201173,2.3456343231201173,0.025283195281938085,0.025283195281938085,0.0,30.3278,30.34,132,rich,cycle_chain,high_variance,0.62540467,quota_rich:cycle_chain:high_variance,50,1,1,49,0.7836734693877551,8.727272727272727,7,1.2532192595237919,0.62,0.38,0.018812659486124143,3.221199999999996,0.650670238852057
G-250,mixed,50,50,50,0,0,50,1,50,40,10,1000,0.6934909677886961,0.0,1.1699572552667366,0.0,2.6672729530334465,2.6672729530334465,0.6934909677886961,0.0,2.6672729530334465,13,0,37,0.26,0.0,0.74,18.19077784347534,17.497286875686644,0.29059246033160235,0.2790849762577756,0.011507484073826742,21.9422,21.95,126,rich,chain_only,proxy_hard,0.72005217,quota_rich:chain_only:proxy_hard,41,0,0,41,0.9646341463414634,6.7272727272727275,4,0.7405450342715181,0.79,0.94,0.2361998315661335,0.8574500000000036,0.7396789321789322
G-269,helpful,50,50,50,0,0,50,1,50,40,10,1000,15.488086727142335,15.488086727142335,0.0,15.488086727142335,15.488086727142335,15.488086727142335,15.488086727142335,15.488086727142335,15.488086727142335,50,0,0,1.0,0.0,0.0,15.654332717895509,0.16624599075317384,0.1765462956324095,0.0022088980907541593,0.17433739754165534,26.1402,26.165,78,medium_rich,chain_only,proxy_aligned,0.24132074,quota_medium_rich:chain_only:proxy_aligned,40,0,0,40,0.8666666666666667,6.909090909090909,2,0.13474216817976675,0.97,0.03,0.0015491932999530565,8.026349999999994,0.951010101010101
G-274,control,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.1394962158203125,0.1394962158203125,0.0032125102988075274,0.0032125102988075274,0.0,22.189,21.985,42,low_medium,cycle_chain,proxy_aligned,0.2738022,quota_low_medium:cycle_chain:proxy_aligned,20,1,0,19,0.7842105263157895,2.3636363636363638,3,0.35021138101268695,0.91,0.09,0.0049799034839597385,1.704150000000002,0.90006734006734
G-281,neutral,50,50,50,0,0,50,1,50,40,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0.0,1.0,0.6943893356323242,0.6943893356323242,0.011652547565888736,0.011652547565888736,0.0,21.3424,21.305,105,medium_rich,chain_only,neutral,0.32305257,quota_medium_rich:chain_only:neutral,25,0,0,25,0.8533333333333334,3.772727272727273,3,0.53418326406184,0.82,0.18,0.014259475343987338,0.7578000000000067,0.801043771043771
