case_id,case_label,subset_seed,base_graph_id,variant_id,variant_graph_path,density_variant,arc_delta_type,original_num_arcs,variant_num_arcs,arc_delta,added_arc_count,removed_arc_count,added_arc_keys,removed_arc_keys,perturb_seed,generation_policy,label_policy,added_arc_source_policy,added_arc_label_policy,removed_arc_policy,new_arc_label_mean,existing_arc_label_mean
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__original__seed2,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__original__seed2.json,original,none,252,252,0,0,0,,,2,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__add25pct__seed2,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__add25pct__seed2.json,add25pct,add_fraction,252,315,63,63,0,0->5|0->13|0->20|2->24|2->30|3->18|4->0|4->23|5->14|5->48|6->36|6->48|7->2|7->17|7->25|7->36|9->20|12->0|12->8|12->32|14->5|14->29|14->39|16->20|17->37|17->52|21->3|22->33|23->51|24->12|26->30|27->32|28->11|28->21|29->27|29->50|31->16|31->49|32->1|33->47|35->39|38->25|38->50|38->53|39->6|39->10|40->19|40->33|41->31|43->2|45->37|48->26|49->16|50->13|50->24|50->31|51->23|52->53|53->38|65->30|65->41|66->9|66->48,,2,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,11.565876190476189,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__add25arcs__seed2,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__add25arcs__seed2.json,add25arcs,add_fixed,252,277,25,25,0,0->41|5->35|7->23|8->22|9->51|10->0|11->38|12->41|13->25|19->16|24->6|24->20|24->30|26->30|28->29|32->10|32->36|32->51|44->4|45->37|47->19|47->26|49->1|50->6|64->36,,2,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,13.068548,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__remove25arcs__seed2,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__remove25arcs__seed2.json,remove25arcs,remove_fixed,252,227,-25,0,25,,3->44|9->35|10->22|12->48|14->35|14->51|20->1|20->7|23->48|24->7|25->26|25->28|27->44|29->38|33->23|33->29|33->37|40->22|40->41|45->44|45->48|50->48|52->0|64->44|66->35,2,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__remove25pct__seed2,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__remove25pct__seed2.json,remove25pct,remove_fraction,252,189,-63,0,63,,1->48|3->11|3->48|4->35|4->53|5->0|6->35|9->28|9->37|12->2|12->11|13->22|13->28|14->22|14->48|19->0|20->2|20->11|20->51|21->35|22->25|22->28|22->38|23->0|23->44|23->48|24->44|25->7|25->11|28->44|29->7|29->23|29->35|31->28|31->38|31->44|32->35|33->7|33->23|33->48|33->51|35->22|35->44|36->48|38->28|38->31|38->51|40->0|40->35|41->22|43->48|43->53|45->0|45->12|45->35|45->44|45->48|52->0|52->7|52->38|64->53|65->14|66->53,2,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__original__seed3,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__original__seed3.json,original,none,252,252,0,0,0,,,3,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__add25pct__seed3,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__add25pct__seed3.json,add25pct,add_fraction,252,315,63,63,0,1->25|2->27|4->25|6->14|7->4|7->32|8->1|8->53|9->1|9->8|11->26|12->25|13->5|13->8|13->33|13->39|17->26|18->45|19->24|19->45|21->27|22->18|22->47|24->27|24->41|26->20|26->52|27->4|27->6|28->2|29->47|30->4|30->27|31->27|32->10|33->3|33->25|35->14|35->18|35->36|36->50|37->9|38->49|41->10|44->24|44->26|45->29|47->7|47->9|47->12|47->17|50->47|51->2|51->4|51->10|52->53|53->36|64->20|65->39|66->19|66->25|66->50|66->52,,3,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,12.756250793650798,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__add25arcs__seed3,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__add25arcs__seed3.json,add25arcs,add_fixed,252,277,25,25,0,0->8|4->18|5->35|5->40|9->14|9->36|9->40|17->40|19->23|23->50|24->52|25->4|27->37|28->2|30->18|33->43|35->51|41->21|43->51|45->1|45->25|48->14|50->31|64->13|66->14,,3,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,13.495168000000001,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__remove25arcs__seed3,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__remove25arcs__seed3.json,remove25arcs,remove_fixed,252,227,-25,0,25,,1->48|3->33|10->53|13->22|14->33|20->2|21->29|22->53|23->53|24->0|24->7|25->7|25->28|27->53|28->44|29->11|33->7|33->22|35->22|35->44|40->0|41->22|45->35|64->28|64->41,3,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__remove25pct__seed3,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__remove25pct__seed3.json,remove25pct,remove_fraction,252,189,-63,0,63,,0->35|1->7|1->11|3->11|3->44|4->53|5->0|8->33|8->44|9->31|9->53|10->11|10->22|10->33|10->51|12->37|13->29|13->53|14->22|14->48|17->33|17->35|17->38|19->53|20->7|20->31|20->37|20->51|20->52|21->29|21->48|22->37|22->53|25->7|25->11|27->53|28->53|29->7|29->23|29->38|29->53|31->7|31->19|33->22|33->38|35->22|35->41|36->48|37->53|40->7|40->41|41->22|45->44|48->35|48->44|50->27|50->28|51->53|52->7|52->11|64->28|65->19|65->37,3,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__original__seed4,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__original__seed4.json,original,none,252,252,0,0,0,,,4,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__add25pct__seed4,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__add25pct__seed4.json,add25pct,add_fraction,252,315,63,63,0,1->12|2->33|3->14|3->29|5->11|6->1|6->45|7->51|9->1|9->5|9->44|10->4|10->23|11->5|11->17|14->50|16->49|16->51|16->52|18->14|18->17|19->23|19->43|23->1|23->21|23->40|24->4|24->49|25->16|25->37|25->44|26->17|27->25|27->32|28->2|29->17|29->31|29->41|30->7|31->17|32->20|33->16|35->1|35->51|36->19|37->52|38->26|39->48|40->3|40->49|41->9|43->7|45->6|47->8|47->32|48->36|50->41|51->50|52->14|53->24|64->30|65->23|66->19,,4,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,11.899885714285716,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__add25arcs__seed4,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__add25arcs__seed4.json,add25arcs,add_fixed,252,277,25,25,0,0->17|0->23|0->43|1->13|2->30|8->16|11->25|11->45|16->32|22->41|23->1|23->33|24->16|27->17|30->27|32->12|32->26|33->13|37->24|40->19|44->35|45->32|48->11|52->30|65->33,,4,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,12.972196000000002,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__remove25arcs__seed4,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__remove25arcs__seed4.json,remove25arcs,remove_fixed,252,227,-25,0,25,,9->41|12->38|13->0|13->2|13->11|14->2|14->44|20->23|21->53|24->0|27->22|27->44|29->53|33->7|33->22|33->23|36->44|40->44|41->53|43->53|45->12|50->44|51->48|52->28|66->35,4,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,1,G-696.json,G-696__remove25pct__seed4,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-696__remove25pct__seed4.json,remove25pct,remove_fraction,252,189,-63,0,63,,0->35|1->11|3->33|4->29|4->51|4->53|6->35|8->11|8->48|9->7|9->28|9->35|9->37|9->41|9->53|10->6|10->22|10->53|12->11|12->35|13->29|13->47|14->2|17->28|17->33|17->44|20->28|20->35|20->44|20->51|22->28|23->0|23->28|23->35|24->0|25->53|28->5|28->44|29->7|30->22|31->28|32->0|32->53|33->7|33->29|33->38|33->48|35->22|36->53|37->44|40->7|40->22|40->41|41->22|45->44|45->53|48->35|50->11|50->44|52->7|65->1|65->14|65->37,4,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,6.562174206349204
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__original__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-392__original__seed0.json,original,none,296,296,0,0,0,,,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,5.58593074324324
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__add25pct__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-392__add25pct__seed0.json,add25pct,add_fraction,296,370,74,74,0,0->40|0->42|1->44|3->4|5->33|6->13|6->21|6->26|7->30|8->0|8->13|8->24|9->24|9->27|9->40|11->10|13->37|14->7|15->6|15->33|16->10|16->33|17->5|17->22|17->48|18->11|19->33|19->49|20->18|22->36|24->51|25->43|26->0|26->35|27->9|28->15|30->36|31->25|32->9|32->22|32->48|33->38|33->47|34->42|35->14|35->40|37->4|38->5|40->21|41->10|42->38|43->10|43->33|44->36|45->18|45->31|46->9|46->28|47->43|47->45|48->11|48->27|48->44|48->46|50->35|51->48|57->5|57->32|58->25|58->45|59->0|59->33|59->37|59->44,,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,12.320464864864869,5.58593074324324
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__add25arcs__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-392__add25arcs__seed0.json,add25arcs,add_fixed,296,321,25,25,0,0->47|2->40|3->22|4->9|7->4|7->16|14->27|15->25|17->15|17->16|18->9|25->10|34->17|36->3|38->46|39->20|41->4|42->38|44->5|46->30|46->45|46->48|49->17|49->35|57->22,,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,10.236312,5.58593074324324
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__remove25arcs__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-392__remove25arcs__seed0.json,remove25arcs,remove_fixed,296,271,-25,0,25,,3->25|11->19|11->34|11->35|13->28|20->31|20->34|20->42|22->30|24->0|24->22|27->34|27->37|31->7|37->30|40->30|43->18|46->7|46->22|46->37|49->18|50->44|57->7|57->36|58->48,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,5.58593074324324
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__remove25pct__seed0,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-392__remove25pct__seed0.json,remove25pct,remove_fraction,296,222,-74,0,74,,0->7|0->48|1->16|1->22|1->36|1->37|3->35|4->7|4->15|4->16|4->25|4->31|6->16|6->25|6->30|6->51|8->18|8->48|10->15|11->18|19->15|19->28|20->0|20->35|20->47|21->2|21->16|21->28|21->51|22->30|24->0|24->30|24->31|24->43|25->31|26->7|26->31|26->48|26->51|27->34|27->48|30->34|31->7|31->48|32->7|32->15|33->18|36->11|36->35|36->46|37->3|38->7|39->25|39->35|39->42|40->18|40->31|40->34|40->43|40->46|41->7|43->15|47->0|47->22|47->31|50->48|51->7|57->31|57->48|58->7|58->15|58->18|58->31|59->7,0,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,5.58593074324324
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__original__seed1,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-392__original__seed1.json,original,none,296,296,0,0,0,,,1,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,5.58593074324324
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__add25pct__seed1,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-392__add25pct__seed1.json,add25pct,add_fraction,296,370,74,74,0,0->45|1->2|2->9|3->11|4->9|4->11|4->17|4->21|5->9|5->30|6->20|6->27|9->30|9->50|10->16|10->35|12->10|12->49|13->9|13->22|13->25|14->30|15->12|16->25|17->13|18->16|18->43|19->3|19->33|20->8|22->39|24->41|27->3|27->9|27->12|27->15|30->10|30->47|30->50|31->41|32->0|32->12|33->1|33->26|34->25|34->30|34->41|36->30|36->41|38->8|38->49|39->0|39->26|40->13|41->43|42->16|42->48|42->51|43->7|43->36|44->51|45->39|46->47|47->21|47->36|48->14|48->20|49->30|51->40|51->45|57->25|57->43|58->25|58->28,,1,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,14.401200000000001,5.58593074324324
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__add25arcs__seed1,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-392__add25arcs__seed1.json,add25arcs,add_fixed,296,321,25,25,0,1->40|8->40|9->1|12->22|12->36|12->40|14->44|19->21|22->34|24->12|27->8|28->30|32->48|35->10|36->33|36->47|39->46|42->8|44->8|48->19|49->46|50->31|57->4|58->19|59->39,,1,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,13.88666,5.58593074324324
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__remove25arcs__seed1,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-392__remove25arcs__seed1.json,remove25arcs,remove_fixed,296,271,-25,0,25,,0->7|5->15|6->18|6->30|6->34|11->7|11->18|12->31|15->39|20->15|20->35|24->31|25->34|26->51|36->35|36->48|36->51|39->15|39->34|40->15|40->35|41->48|49->44|50->46|57->36,1,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,5.58593074324324
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__remove25pct__seed1,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-392__remove25pct__seed1.json,remove25pct,remove_fraction,296,222,-74,0,74,,1->24|1->36|3->31|3->48|4->15|4->32|4->48|5->7|5->8|5->15|6->0|6->28|6->46|11->19|11->28|12->18|12->34|13->7|13->28|15->39|19->31|20->7|21->25|21->28|21->30|24->14|24->30|24->48|25->35|26->7|26->31|27->25|27->37|30->34|31->7|32->30|32->51|34->31|35->48|36->22|36->31|38->15|38->36|39->15|39->18|39->22|39->34|39->35|39->48|39->49|40->7|40->15|40->25|40->30|40->31|40->35|40->46|40->48|41->7|41->21|43->18|43->48|46->22|46->51|47->22|47->51|49->48|51->31|57->10|57->28|57->36|57->48|58->20|59->31,1,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,5.58593074324324
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,1,G-392.json,G-392__original__seed2,surrogate_experiment_results/decision_analysis/results/density_sensitivity/perturb_seed_robustness/graphs/G-392__original__seed2.json,original,none,296,296,0,0,0,,,2,density_sensitivity_structural_perturbation,frozen_existing_edges_original_scale_new_edges,sample_missing_vertex_arcs,synthetic_step2b_original_scale,sample_existing_vertex_arcs,,5.58593074324324
