example,problem_family,objective_sense,selected_by,solution,oracle_true_objective_or_cost,selected_true_objective_or_cost,selected_predicted_2stage_score_or_cost,selected_predicted_dfl_score_or_cost,normalized_gap_to_oracle,normalized_gap_percent,paper_takeaway
toy_knapsack_capacity,cardinality knapsack,maximize,2stage_rank2_by_prediction,B + D,20.0,19.75,20.2,19.75,0.0125,1.25,"Under a small capacity, 2stage can replace the oracle bundle with a nearby bundle and still incur only 2.5% normalized regret."
toy_knapsack_capacity,cardinality knapsack,maximize,dfl_rank1_by_prediction,A + B,20.0,20.0,20.0,20.0,0.0,0.0,"Under a small capacity, 2stage can replace the oracle bundle with a nearby bundle and still incur only 2.5% normalized regret."
toy_knapsack_capacity,cardinality knapsack,maximize,dfl_rank2_by_prediction,B + D,20.0,19.75,20.2,19.75,0.0125,1.25,"Under a small capacity, 2stage can replace the oracle bundle with a nearby bundle and still incur only 2.5% normalized regret."
toy_partition_matroid,partition matroid,maximize,oracle_by_true,A1 + B1,20.0,20.0,20.0,20.0,0.0,0.0,A decomposable matroid base can change one item in each block while remaining within 1% of the oracle objective.
toy_partition_matroid,partition matroid,maximize,true_second_best,A2 + B1,20.0,19.9,20.15,19.9,0.005000000000000071,0.5000000000000071,A decomposable matroid base can change one item in each block while remaining within 1% of the oracle objective.
toy_partition_matroid,partition matroid,maximize,2stage_rank1_by_prediction,A2 + B2,20.0,19.8,20.3,19.8,0.009999999999999964,0.9999999999999963,A decomposable matroid base can change one item in each block while remaining within 1% of the oracle objective.
toy_partition_matroid,partition matroid,maximize,2stage_rank2_by_prediction,A2 + B1,20.0,19.9,20.15,19.9,0.005000000000000071,0.5000000000000071,A decomposable matroid base can change one item in each block while remaining within 1% of the oracle objective.
toy_partition_matroid,partition matroid,maximize,dfl_rank1_by_prediction,A1 + B1,20.0,20.0,20.0,20.0,0.0,0.0,A decomposable matroid base can change one item in each block while remaining within 1% of the oracle objective.
toy_partition_matroid,partition matroid,maximize,dfl_rank2_by_prediction,A2 + B1,20.0,19.9,20.15,19.9,0.005000000000000071,0.5000000000000071,A decomposable matroid base can change one item in each block while remaining within 1% of the oracle objective.
toy_shortest_path,shortest path,minimize,oracle_by_true,Path A: s-a1-a2-t,5.0,5.0,5.0,5.0,0.0,0.0,"A prediction error redirects the whole path. The selected solution is not a local close substitute, so 2stage regret can be large."
toy_shortest_path,shortest path,minimize,true_second_best,Path B: s-b1-b2-t,5.0,8.0,4.8,8.0,0.6,60.0,"A prediction error redirects the whole path. The selected solution is not a local close substitute, so 2stage regret can be large."
toy_shortest_path,shortest path,minimize,2stage_rank1_by_prediction,Path B: s-b1-b2-t,5.0,8.0,4.8,8.0,0.6,60.0,"A prediction error redirects the whole path. The selected solution is not a local close substitute, so 2stage regret can be large."
toy_shortest_path,shortest path,minimize,2stage_rank2_by_prediction,Path A: s-a1-a2-t,5.0,5.0,5.0,5.0,0.0,0.0,"A prediction error redirects the whole path. The selected solution is not a local close substitute, so 2stage regret can be large."
toy_shortest_path,shortest path,minimize,dfl_rank1_by_prediction,Path A: s-a1-a2-t,5.0,5.0,5.0,5.0,0.0,0.0,"A prediction error redirects the whole path. The selected solution is not a local close substitute, so 2stage regret can be large."
toy_shortest_path,shortest path,minimize,dfl_rank2_by_prediction,Path B: s-b1-b2-t,5.0,8.0,4.8,8.0,0.6,60.0,"A prediction error redirects the whole path. The selected solution is not a local close substitute, so 2stage regret can be large."
toy_serial_path,serial path control,minimize,oracle_by_true,Serial route A: low-cost chain,10.0,10.0,10.0,10.0,0.0,0.0,"When feasibility couples all arcs into one serial decision, a small ranking error can redirect the whole route and create 50% regret."
toy_serial_path,serial path control,minimize,true_second_best,Serial route B: high-cost chain,10.0,15.0,9.8,15.0,0.5,50.0,"When feasibility couples all arcs into one serial decision, a small ranking error can redirect the whole route and create 50% regret."
toy_serial_path,serial path control,minimize,2stage_rank1_by_prediction,Serial route B: high-cost chain,10.0,15.0,9.8,15.0,0.5,50.0,"When feasibility couples all arcs into one serial decision, a small ranking error can redirect the whole route and create 50% regret."
toy_serial_path,serial path control,minimize,2stage_rank2_by_prediction,Serial route A: low-cost chain,10.0,10.0,10.0,10.0,0.0,0.0,"When feasibility couples all arcs into one serial decision, a small ranking error can redirect the whole route and create 50% regret."
toy_serial_path,serial path control,minimize,dfl_rank1_by_prediction,Serial route A: low-cost chain,10.0,10.0,10.0,10.0,0.0,0.0,"When feasibility couples all arcs into one serial decision, a small ranking error can redirect the whole route and create 50% regret."
toy_serial_path,serial path control,minimize,dfl_rank2_by_prediction,Serial route B: high-cost chain,10.0,15.0,9.8,15.0,0.5,50.0,"When feasibility couples all arcs into one serial decision, a small ranking error can redirect the whole route and create 50% regret."
toy_parametric_epsilon_0p050,parametric packing family,maximize,oracle_by_true,S_star,1.0,1.0,1.0,1.0,0.0,0.0,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p050,parametric packing family,maximize,true_second_best,S_epsilon,1.0,0.95,1.05,0.95,0.050000000000000044,5.000000000000004,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p050,parametric packing family,maximize,2stage_rank1_by_prediction,S_epsilon,1.0,0.95,1.05,0.95,0.050000000000000044,5.000000000000004,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p050,parametric packing family,maximize,2stage_rank2_by_prediction,S_star,1.0,1.0,1.0,1.0,0.0,0.0,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p050,parametric packing family,maximize,dfl_rank1_by_prediction,S_star,1.0,1.0,1.0,1.0,0.0,0.0,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p050,parametric packing family,maximize,dfl_rank2_by_prediction,S_epsilon,1.0,0.95,1.05,0.95,0.050000000000000044,5.000000000000004,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p020,parametric packing family,maximize,oracle_by_true,S_star,1.0,1.0,1.0,1.0,0.0,0.0,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p020,parametric packing family,maximize,true_second_best,S_epsilon,1.0,0.98,1.02,0.98,0.020000000000000018,2.0000000000000018,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p020,parametric packing family,maximize,2stage_rank1_by_prediction,S_epsilon,1.0,0.98,1.02,0.98,0.020000000000000018,2.0000000000000018,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p020,parametric packing family,maximize,2stage_rank2_by_prediction,S_star,1.0,1.0,1.0,1.0,0.0,0.0,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p020,parametric packing family,maximize,dfl_rank1_by_prediction,S_star,1.0,1.0,1.0,1.0,0.0,0.0,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p020,parametric packing family,maximize,dfl_rank2_by_prediction,S_epsilon,1.0,0.98,1.02,0.98,0.020000000000000018,2.0000000000000018,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p010,parametric packing family,maximize,oracle_by_true,S_star,1.0,1.0,1.0,1.0,0.0,0.0,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p010,parametric packing family,maximize,true_second_best,S_epsilon,1.0,0.99,1.01,0.99,0.010000000000000009,1.0000000000000009,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p010,parametric packing family,maximize,2stage_rank1_by_prediction,S_epsilon,1.0,0.99,1.01,0.99,0.010000000000000009,1.0000000000000009,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p010,parametric packing family,maximize,2stage_rank2_by_prediction,S_star,1.0,1.0,1.0,1.0,0.0,0.0,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p010,parametric packing family,maximize,dfl_rank1_by_prediction,S_star,1.0,1.0,1.0,1.0,0.0,0.0,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p010,parametric packing family,maximize,dfl_rank2_by_prediction,S_epsilon,1.0,0.99,1.01,0.99,0.010000000000000009,1.0000000000000009,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p001,parametric packing family,maximize,oracle_by_true,S_star,1.0,1.0,1.0,1.0,0.0,0.0,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p001,parametric packing family,maximize,true_second_best,S_epsilon,1.0,0.999,1.001,0.999,0.0010000000000000009,0.10000000000000009,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p001,parametric packing family,maximize,2stage_rank1_by_prediction,S_epsilon,1.0,0.999,1.001,0.999,0.0010000000000000009,0.10000000000000009,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p001,parametric packing family,maximize,2stage_rank2_by_prediction,S_star,1.0,1.0,1.0,1.0,0.0,0.0,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p001,parametric packing family,maximize,dfl_rank1_by_prediction,S_star,1.0,1.0,1.0,1.0,0.0,0.0,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
toy_parametric_epsilon_0p001,parametric packing family,maximize,dfl_rank2_by_prediction,S_epsilon,1.0,0.999,1.001,0.999,0.0010000000000000009,0.10000000000000009,The normalized regret can be made arbitrarily small even though 2stage selects S_epsilon instead of S_star.
